,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
0,FAQ.1,FAQ,,,,KI Datenerhebung,"([Datenerhebung, Datenerfassung, Trainingsdaten]; 2), ([Erhebung, erheben, Erfassung, erfassen, erlangen, gelangen, bekommen, kriegen, erhalten, Erhalt], [Daten, Trainingsdaten]; 2), ([woher, wie, Quelle, Ursprung], [Daten, Trainingsdaten, Informationen]; 4), ([KI, medKI, AI, Intelligenz], [woher, wie, Quelle, Ursprung], [Daten, Trainingsdaten, Informationen]; 7)  ",wie /gelangt KI an Daten über Patient:innen?,Wie gelangt KI an Daten über Patient:innen?,"Wie gelangt eine medKI an Patientendaten, insbesondere auch zu ihren persönlichen Lebensumständen?",FAQ.G1,0,
1,FAQ.1-1,FAQ,,FAQ.1,,KI Daten medizinisches Personal,,die KI erhält Hilfe durch das medizinische Hilfspersonal.,die KI /erhält Hilfe durch das medizinische Hilfspersonal.,"Die KI erhält Hilfe durch medizinisches Personal, welches sie instruiert. Beispielsweise wird das Personal angewiesen Patient:innen nach ihrer Lebenssituation zu befragen oder bestimmte standardisierte Untersuchungen vorzunehmen. Auf Grundlage der erhaltenen Daten fällt die KI ihre Entscheidungen.",FAQ.G1,,
2,FAQ.2,FAQ,,,,KI Ergebnisse Niveau Mensch,"([Ergebnisse, Resultate, Diagnose, diagnostizieren, Entscheidungen, Performance, Performanz, perform*], [wie, besser, genauso, gleich, selbe], [Arzt, Facharzt, Mensch, Experte]; 5)",wie /kann KI so gute Ergebnisse liefern wie Expert:innen?,Wie kann KI so gute Ergebnisse liefern wie Expert:innen?,Wie leistungsfähig ist derzeit die medKI und kann sie so gut werden wie Ärzt:innen?,FAQ.G1,0,
3,FAQ.2-1,FAQ,,FAQ.2,,Ergebnisse Voraussetzung Szenario,,"unser Szenario setzt voraus, dass KI es kann","Unser Szenario setzt voraus, dass es so ist.","Diese Frage wird sich erst in der Zukunft vollständig beantworten lassen. In Teilgebieten wie der Analyse von Bildern ist es bereits heute Realität. Wir gehen in diesem Szenario aber davon aus, dass es so ist und wollen die entstehenden ethischen Fragen diskutieren.",FAQ.G1,,
4,FAQ.3,FAQ,,,,Wissensquelle der KI,"([Wissensquelle]; 5), ([woher, Quelle, Ursprung], [Wissen, Performanz, Performance, Algorithmus, Logik]; 3), ([KI, medKI, AI, Intelligenz], [woher, Quelle, Ursprung], [Wissen, Performanz, Performance, Algorithmus, Logik]; 5)",woher /bezieht die KI ihr Wissen?,Woher würde eine medKI ihr Wissen beziehen?,Woher würde die medKI ihr Wissen beziehen?,FAQ.G1,0,
5,FAQ.3-1,FAQ,,FAQ.3,,Vielfältige Wissensquellen,,Die KI verwendet viele Quellen für ihr Wissen,Die KI verwendet viele Quellen für ihr Wissen,"Viele glauben, dass eine medKI ein komplexes neuronales Netz sein würde, das mit ausreichend Patientendaten trainiert ist. Im Gegensatz dazu gehen wir davon aus, dass eine medKI auch die verfügbare Literatur, wie Lehrbücher und Fachartikel versteht und mit Fällen aus Patientendaten kombiniert und dadurch auch verständliche Erklärungen generieren kann. Ihre Leistungsfähigkeit ist trotzdem entscheidend von der Korrektheit und Vollständigkeit der konkreten Falldaten abhängig.  ",FAQ.G1,,
6,FAQ.4,FAQ,,,,Welchen Standpunkt vertritt der Bot?,"Standpunkt, Chatbot, Bot, ([Bot, Chatbot, Chat, du, deine, Sie, Ihre, ihr, eure, euere], [Haltung, Standpunkt, Meinung, Einstellung]; 5)",welchen Standpunkt /vertritt dieser Chatbot?,Welchen Standpunkt vertritt dieser Chatbot?,Welchen Standpunkt vertritt dieser Chatbot?,FAQ.G1,0,
7,FAQ.4-1,FAQ,,FAQ.4,,Chatbot ist informierend gedacht,,der Chatbot vertritt die Gegenposition zu deiner Meinung.,der Chatbot /vertritt die Gegenposition zu deiner Meinung.,"Das Ziel des Bots ist es durch eine natürliche Diskussion informierend zu wirken. Er vertritt den Standpunkt, der entgegen deiner anfänglichen Meinung ist, um dir so die andere Seite aufzuzeigen.",FAQ.G1,,
8,FAQ.5,FAQ,,,NZ.K10,KI warum nicht unterstützend,"([Unterstützung, unterstützend, unterstützen]; 2)",Warum /geht es hier nicht um eine die Ärzt:innen unterstzützende medKI?,Warum geht es hier nicht um eine die Ärzte unterstützende medKI?,Warum geht es hier nicht um eine unterstützende medKI?,FAQ.G1,0,
9,FAQ.5-1,FAQ,,FAQ.5,,KI Unterstzützung unproblematisch,,KI-Unterstützung ist aus ethischer Sicht relativ unproblematisch,KI-Unterstützung /ist aus ethischer Sicht relativ unproblematisch,KI-Unterstützung in der Medizin findet bereits statt und ist aus ethischer Sicht relativ unproblematisch.,FAQ.G1,,
