,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
0,NZ.K1,NZ,CON,,,Keine Zweitmeinung,"Zweitmeinung, ([medKI, KI, AI, Intelligenz] negex Zweitmeinung; 5), ([medKI, KI, AI, Intelligenz], [selbes, gleich, identisch], [Ergebnis, Resultat, Einschätzung, Diagnose, diagnostizieren]; 3) ",bei einer KI /kann keine zweite Meinung eingeholt werden.,bei einer KI kann keine zweite Meinung eingeholt werden,"Bei einer KI kann keine Zweitmeinung eingeholt werden, da die KI immer zum selben Ergebnis kommt. Eine Zweitmeinung kann jedoch für das Gefühl der Patient:innen, die richtige Entscheidung zu treffen, wichtig sein.",NZ.G2,0,
1,NZ.K1-1,NZ,PRO,NZ.K1,,Zweitmeinung weiterhin möglich,,,Ärzte existieren noch immer und können Zweitmeinung geben,"In unserem Szenario würde die KI ein Zulassung wie Ärtz:innen erhalten, wodurch sie gleichwertig zu menschlichen Ärtz:innen Patient:innen behandeln könnte. Ärzt:innen würden weiterhin existieren und könnten eine Zweitmeinung abgeben.",NZ.G2,,
2,NZ.K3,NZ,CON,,,schlechte Trainingsdaten,"(negex [Diversität, divers, umfangreich] [Trainingsdaten, Daten, Datenmenge]; 5), ([wenig, geringe, Mangel, mangelhafte, schlecht, empirisch, Qualität, qualitativ, Qualitätsquote], [Trainingsdaten, Daten, Datenmenge]; 5), ([Trainingsdaten, Daten, Datenmenge], [beeinflussen, entscheiden, bestimmen], [Ergebnis, Qualität]; 5)",mangelnde Qualität der Trainingsdaten /sorgt für unzureichende Leistungsfähigkeit der KI.,mangelnde Qualität der Trainingsdaten sorgt für unzureichende Leistungsfähigkeit der KI.,"Aufgrund falscher Diagnosen durch Ärzt:innen sinkt die Qualitätsquote der Trainingsdaten. Mangelhafte Trainingsdaten sowie eine geringe Datenmenge bei zu großer Merkmalsmenge führen zu einer Stagnierung einer ohnehin schlechten Lernkurve der KI, die aus gerade diesen Daten speist. Die Krankheitsverläufe unterscheiden sich auch bei vermeintlich gleicher Ausgangslage oft massiv, sodass es auf Details ankommt. Ob die bezwecke Effizienzsteigerung und Ökonomisierung dem Nutzen der Patient:innen zu dienen fähig sind, erscheint unter diesen Gesichtspunkten fraglich.",NZ.G3,0,
3,NZ.K3-1,NZ,PRO,NZ.K3,,Traningsdaten nicht nur empirisch,,,,"In unserem Szenario erhält die KI nicht nur empirische Trainingsdaten, die aus bisher existierenden Fällen stammen, sondern lernt beispielsweise auch aus der medizinischen Literatur.",NZ.G3,,
4,NZ.K4,NZ,CON,,,Umweltbelastung,"Planet, Umwelt, Klima, Natur, ([Umweltbelastung, Klimawandel, Klimabelastung, Stromfresser, Stromverbrauch]; 3), ([Belastung, belasten, Beeinflussung, beeinflussen, schaden, Schaden, schädlich, schlecht, verschlechtern], [Planet, Umwelt, Klima, Natur]; 5)",die Umweltbelastung /wird durch den breiten Einsatz von medKIs zu groß.,die Umweltbelastung wird durch den breiten Einsatz von medKIs zu groß.,Erforderliche Rechenzentren für den Einsatz von KI würden eine große Belastung für die Umwelt darstellen.,NZ.G3,0,
5,NZ.K4-1,NZ,PRO,NZ.K4,,keine Umweltbelastung,,,Umweltbelastung vergrößert sich nicht,"Die EDV in Krankenhäuser und Arztpraxen erfordert schon derzeit riesige Rechenressourcen, auch wegen der hohen Sicherheitsanforderungen. Dies wird sich durch die zusätzlichen Untersuchungszentren und deren Rechenbedarf nicht strukturell ändern. Das rechenaufwändige Training der KI wird nur zentral durchgeführt und multipliziert sich daher nicht.",NZ.G3,,
6,NZ.K6,NZ,CON,,,Abhängkeit von KI,"Google, Microsoft, Facebook, Apple, Internetfirmen, Konzerne, Unternehmen, Tech-Konzernen, Technikunternehmen, Tech-Riesen, Internetriesen, konkurrieren, Konkurrenz, ([staatlich, Staat, verstaatlicht, Staatsaufgabe], [Gesundheitswesen, Gesundheitsversorgung, Krankenhaus]; 3), ([konkurrieren, konkurrierend, Konkurrenz, Wettbewerb, Rivalität, Kontrahent, abhängig, Abhängigkeit, mithalten], [privat*, Konzerne, Firma, Firmen, Internetfirmen, Mitbewerber, Unternehmen, Tech-Konzernen, Technikunternehmen, Tech-Riesen, Internetriesen, Google, Microsoft, Facebook]; 5)",Staaten /könnten in Gesundheitsfragen in eine Abhängkeit von großen Tech-Konzernen geraten.,Staaten könnten in Gesundheitsfragen in eine Abhängkeit von großen Tech-Konzernen geraten,Die Gesundheitsversorgung ist grundsätzlich eine staatliche Aufgabe. Im Rahmen von KI-Systemen könnte der Staat eventuell nicht mit den Entwicklungen von Tech-Konzernen wie Google und co mithalten. Hier würde wohl eine Abhängigkeit entstehen.,NZ.G3,0,
7,NZ.K6-1,NZ,PRO,NZ.K6,,Abhänigkeit nicht ethisch,,,,"Die Frage ist berechtigt: wenn private Firmen die KI betreiben, könnte eine Abhängigkeit entstehen, wenn der Staat die Aufgabe übernimmt, könnte die KI wegen fehlender Konkurrenz schlechter als die von privaten Betreibern sein. Allerdings ist das kein ethisches Argument, sondern eines über den besten Weg zu unserem hypothetischen Szenario. Wir gehen davon aus, dass Problem gelöst ist und wollen uns auf die ethischen Auswirkungen konzentrieren.",NZ.G3,,
8,NZ.K8,NZ,CON,,,Blackbox,"(Black Box; 6), ([Black-Box, Black-Box-Verhalten, Blackbox]; 6), (negex [transparent, durchsichtig, Transparenz, begründet, Begründung, erklären, erklärt, Erklärung, Erläuterung, erläutern]; 3) ([Entscheidung,  Entscheidungsfindung, Diagnose, diagnostizieren, entscheiden, Ergebnis, Resultat], negex, [transparent, durchsichtig, Transparenz, begründet, Begründung, erklären, erklärt, Erklärung, Erläuterung, erläutern, nachvollziehbar, Nachvollziehbarkeit]; 5)",Entscheidungen durch die KI /sind nicht transparent genug.,Entscheidungen durch die KI sind nicht transparent genug.,Trotz zuverlässiger Entscheidungsgenauigkeit könnte es aufgrund es Blackbox-Verhaltens zu plötzlichen und häufigen Fehlentscheidungen kommen. ,NZ.G1,0,
9,NZ.K8-1,NZ,PRO,NZ.K8,,erklärbare KI in Zukunft,,,medKI /wird in der Lage sein ihre Entscheidungen zu erklären.,"Erklärbare KI (explainable AI) ist bereits heute ein großes Forschungsgebiet. Es ist davon auszugehen, dass eine der  Vorraussetzungen für die Zulassung einer eigenständig agierenden medKI ist, dass sie ihre Entscheidungen erklären kann. ",NZ.G1,,
10,NZ.K9,NZ,CON,,,technische Schwierigkeiten,"([*ausfall, *absturz]; 2), ([störungsanfällig, Stromausfall, Systemausfall, Systemabsturz, Computerabsturz, Technikausfall, Serverdown]; 4) ([Störung, gestört, stören, Ausfall, ausfallen, Fehlfunktion, Absturz, Fehler, Schwierigkeiten], [Strom, Elektronik, elektrisch, elektronisch, Infrastruktur, System, Technik, technisch, technologisch, Computer, Rechner, Server, Maschine]; 5)",Computersysteme /haben oft technische Schwierigkeiten.,Computersysteme haben oft technische Schwierigkeiten,"Im Alltag kommt es bei der Benutzung von Computersystemen oft zu technischen Schwierigkeiten, dies würde bei menschlichen Ärtz:innen nicht passieren",NZ.G2,0,
11,NZ.K9-1,NZ,PRO,NZ.K9,,KI durch personal unterstützt,,,technische Probleme /treten bei jeder neuen Technologie auf,"Technische Probleme treten bei jeder neuen bzw. günstigen Technologie auf. Wenn es allerdings um Leben und Tod geht, werden Systeme durch ausführlich getestet und geprüft, sodass das Risiko von Fehlern auf ein vertretbares Maß sinkt. Beispiele dafür sind Flugzeuge oder Kernkraftwerke.",NZ.G2,,
