,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
0,Z.P1,Z,Pro,,,,,eine SchiriKI /entscheidet in ähnlichen Situationen gleich.,Eine SchiriKI entscheidet in ähnlichen Situationen gleich.,Eine SchiriKI trifft konsistente regelkonforme Entscheidungen und entscheidet in ähnlichen Situationen gleich.,Z.GP1,5,0
1,Z.P1-2,Z,Con,Z.P1,,,,man /kann die Schuld bei einem verlorenen Spiel nicht auf den Schiri schieben.,man kann die Schuld bei einem verlorenen Spiel nicht auf den Schiri schieben.,Man kann die Schuld bei einem verlorenen Spiel nicht mehr auf den Schiri schieben.,Z.GP1,,
2,Z.P1-3,Z,Con,Z.P1,,,,die SchiriKI /könnte zum Sündenbock werden.,die SchiriKI könnte zum Sündenbock werden.,Die SchiriKI könnte genauso wie ein menschlicher Schiedsrichter zum Sündenbock werden. Dies kann dem Ansehen und der Vertrauenswürdigkeit von Künstlicher Intelligenz bzw. Systemen Künstlicher Intelligenz langfristig Schaden zufügen.,Z.GP1,,
3,Z.P1-3-1,Z,Pro,Z.P1-3,,,,eine erfolgreiche SchiriKI /könnte das Vertrauen in KI stärken.,eine erfolgreiche SchiriKI könnte das Vertrauen in KI stärken.,"Eine SchiriKI kann keine großen Schäden an Leib und Leben oder Grundrechten von natürlichen Personen hervorrufen, sodass ein erfolgreicher Einsatz in diesem Bereich das Vertrauen in KI stärken kann.",Z.GP1,,
4,Z.P2,Z,Pro,,Z.P5,,,eine SchiriKI /entscheidet objektiv und emotionslos.,Eine SchiriKI entscheidet objektiv und emotionslos.,"Eine SchiriKI vermeidet die Unberechenbarkeit menschlicher Entscheidungen, da sie frei von Interessenkonflikten ist und emotionslos sowie vorurteilslos objektive Entscheidungen trifft. Hierdurch werden zuvor von Menschen gemachte Fehler minimiert und entsprechend weniger falsche Entscheidungen getroffen und weniger Regelverstöße übersehen.",Z.GP1,3,0
5,Z.P2-1,Z,Con,Z.P2,Z.K9,,,die Unberechenbarkeit /gehört zum Spiel.,die Unberechenbarkeit gehört zum Spiel.,Zum Fußball gehört die partielle Unberechenbarkeit von Schiri-Entscheidungen. Durch eine SchiriKI wird das Spiel verändert. ,Z.GP1,,
6,Z.P2-2,Z,Con,Z.P2,Z.K1-1-1,,,die Daten der SchiriKI /könnten einen Bias enthalten.,die Daten der SchiriKI könnten einen Bias enthalten.,"Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",Z.GP1,,
7,Z.P2-1-1,Z,Pro,Z.P2-1,,,,falsche Entscheidungen /sollten so gut es geht ausgemerzt werden.,falsche Entscheidungen sollten so gut es geht ausgemerzt werden.,"Zwar ist die menschliche Unberechenbarkeit von Schiri-Entscheidungen sicherlich ein Thema, dass zum Sport dazu gehört. Falsche Entscheidungen gehören aber nicht dazu. Hierzu erhält ein Schiedsrichter im Nachgang stets Kritik.",Z.GP1,,
8,Z.P3,Z,Pro,,,,,es /gibt weniger Proteste gegen Entscheidungen der SchiriKI.,Es gibt weniger Proteste gegen Entscheidungen der SchiriKI,Aufgrund der objektiven und nachvollziehbaren Entscheidungen der SchiriKI wird es zu weniger Diskussionen und Protesten auf dem Spielfeld kommen.,Z.GP3,4,-1
9,Z.P3-1,Z,Con,Z.P3,Z.K9,,,eine SchiriKI /reduziert die Emotionalität.,eine SchiriKI reduziert die Emotionalität,"Eine SchiriKI reduziert die Emotionalität im Spiel, was den Reiz von Fußball ausmacht. ",Z.GP3,,
10,Z.P3-2,Z,Con,Z.P3,,,,die Zuschauer können /weniger diskutieren.,die Zuschauer können weniger diskutieren.,Die Zuschauer können weniger über ein Spiel diskutieren. ,Z.GP3,,
11,Z.P3-2-1,Z,Pro,Z.P3-2,,,,Fehlentscheidungen /nehmen die Freude am Spiel.,Fehlentscheidungen nehmen die Freude am Spiel.,Die Aufregung über Fehlentscheidungen von menschlichen Schiedsrichtern kann der Freude am Sport und besonderen Momenten des Spiels weichen.,Z.GP3,,
