,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
0,z_trans_1,,,,,,,,"Darüber hinaus finde ich, dass hier noch folgendes beachtet werden sollte:","Darüber hinaus finde ich, dass hier noch folgendes beachtet werden sollte:","sgss, sgds",,
1,z_trans_2,,,,,,,,Aber hast Du schon einmal daran gedacht:,Aber hast Du schon einmal daran gedacht:,"dgds, dgss",,
2,z_trans_4,,,,,,,,Zudem sollte man hier auch Folgendes berücksichtigen:,Zudem sollte man hier auch Folgendes berücksichtigen:,sgss,,
3,z_trans_8,,,,,,,,Ferner:,Ferner:,dgss,,
4,z_trans_9,,,,,,,,Ich würde hier noch folgenden Punkt hinzufügen:,Ich würde hier noch folgenden Punkt hinzufügen:,"sgss, dgss",,
5,z_trans_10,,,,,,,,Im Übrigen:,Im Übrigen:,dgss,,
6,z_trans_11,,,,,,,,Ansprechen möchte ich noch:,Ansprechen möchte ich noch:,"dgds, dgss",,
7,z_trans_12,,,,,,,,Aber zu beachten ist:,Aber zu beachten ist:,"sgds, dgds",,
8,z_trans_13,,,,,,,,Um auch noch einmal eine andere Seite zu beleuchten:,Um auch noch einmal eine andere Seite zu beleuchten:,"dgss, dgds",,
9,z_trans_16,,,,,,,,Ein weiterer Gesichtspunkt gehört hierher.,Ein weiterer Gesichtspunkt gehört hierher.,"dgss, sgds",,
10,z_trans_17,,,,,,,,Aber: ,Aber: ,contradict,,
11,z_trans_18,,,,,,,,Dagegen spricht: ,Dagegen spricht:,contradict,,
12,z_trans_19,,,,,,,,Dagegen könnte man argumentieren:,Dagen könnte man argumentieren:,contradict,,
13,nz_trans_1,,,,,,,,Szenario missverstanden,"Ich verstehe dein Argument, allerdings passt es nicht ganz zu unserem Szenario. Für unsere Diskussion gehen wir von einem zukünftigen Szenario aus, in dem eine spezialisierte KI die mindestens gleiche Leistungsfähigkeit von medizinischen Expert:innen auf ihrem Spezialgebiet hat. Lass uns doch einmal folgenden Aspekt betrachten:",NZ.G1,,
14,nz_trans_2,,,,,,,,Kein ethischer Bezug,Wir wollen vor allem über die ethische Seite unseres Szenarios diskutieren. Bei deiner Aussage fehlt mir der ethische Bezug. Hast du schon einmal über folgenden Punkt nachgedacht:,NZ.G3,,
15,nz_trans_3,,,,,,,,Implizit im Szenario enthalten,"Ich glaube dein Argument stellt sich in unserem Szenario nicht, da wir von den festen Rahmenbedingungen ausgehen. Diese findest du in der Beschreibung oben. Wie ist denn deine Meinung zu Folgendem:",NZ.G2,,
16,faq_u_trans_1,,,,,,,,FAQ Verweis,"Ich denke deine Frage wird von unserer FAQ Seite abgedeckt. Schau doch mal da, ob dir das weiter hilft. Ansonsten würde mir noch folgendes einfallen:",faq_unknown,,
17,faq_u_trans_2,,,,,,,,FAQ Verweis 2,"Ich bin mir nicht ganz sicher, was du meinst, aber ich glaube, dass deine Frage in unserem FAQ beantwortet werden könnte. Schau doch mal da nach. Weiterhin würde ich gerne folgenden Punkt einbringen: ",faq_unknown,,
18,faq_trans_1,,,,,,,,Überleitung 1: FAQ Antwort -> Proaktives Argument,Um hier einen neuen Punkt in die Diskussion einzubringen:,faq_known,,
19,faq_trans_2,,,,,,,,Überleitung 2: FAQ Antwort -> Proaktives Argument,Was denkst du denn darüber:,faq_known,,
20,faq_trans_3,,,,,,,,Überleitung 3: FAQ Antwort -> Proaktives Argument,Was sagst du denn noch zu Folgendem:,faq_known,,
21,z_trans_7,,,,,,,,Fallen Dir noch weitere Argumente ein?,Fallen Dir noch weitere Argumente ein?,,,
22,z_trans_14,,,,,,,,Nein,Nein.,,,
23,z_trans_15,,,,,,,,Ja.,Ja.,,,
