,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
0,,,,,,,,paraphrase,,,,,
1,Z.P1,Z,PRO,,Z.P2,Mehr Zeit; produktiver unterwegs,,KI /verschafft mehr Zeit.,Mehr Zeit; produktiver unterwegs,Menschen können ihre Zeit während der Fahrten besser nutzen und sich anderen Dingen wie der Arbeit oder Freizeitbeschäftigungen widmen.,Z.GP1,3,
2,Z.P1-1,Z,CON,"Z.P1, Z.P3, Z.P14",Z.P10-1,Entlassungen; soziale Probleme,,KI /sorgt für Entlassungen von Fahrer:innen,Entlassungen; soziale Probleme,"Die Übernahme der Fahrzeugführung durch ein intelligentes Programm könnte möglicherweise zu massenhaften Entlassungen von Fahrern führen, was zu einer Verschiebung der Arbeitsplätze und möglicherweise auch zu sozialen Problemen führen könnte.",Z.GP1,1,
3,Z.P2,Z,PRO,,Z.P1,KI entlastet physisch und psychisch,,Die KI /entlastet Fahrer:innen physisch und psychisch.,physische und psychische Entlastung,"Die Technik entlastet Fahrer:innen physisch und psychisch, da sie nicht mehr die ganze Zeit aufmerksam auf den übrigen Verkehr achten müssen und so viel entspannter fahren können. ",Z.GP1,4,
4,Z.P2-1,Z,CON,Z.P2,,"KI verursacht Gefühl, dass Mensch überflüssig",,durch KI /könnten sich Menschen überflüssig fühlen.,Mensch weniger wertvoll/überflüssig,"Wenn der Mensch als Fahrer wegfällt und nur noch in die Rolle des Passagiers rückt, könnte er sich schnell weniger wertvoll oder sogar überflüssig fühlen. Das würde wiederum die Akzeptanz enorm beeinträchtigen.",Z.GP1,2,
5,Z.P3,Z,PRO,,,Mehr Privatsphäre; keine Angewiesenheit auf öfftl. Verkehrsmittel bzw. Taxis,,KI /führt zu mehr Privatsphäre.,Mehr Privatsphäre; keine Angewiesenheit auf öfftl. Verkehrsmittel bzw. Taxis,"Die autoKI ermöglicht einen größeren Raum für Privatsphäre, denn die Angewiesenheit auf andere (öffentliche) Verkehrsmittel wie z.B. das Taxi oder den Bus wird reduziert. ",Z.GP1,3,
6,Z.P4,Z,PRO,,,"Ermöglicht Teilnahme für Personenkreis, dem es untersagt ist selbst zu fahren; Fürsorgeprinzip",,KI /ermöglicht die Teilnahme  am Straßenverkehr für fahruntütchtige Personen. ,"KI ermöglicht die Teilnahme für einen Personenkreis, dem es untersagt ist selbst zu fahren. ","Die autoKI ermöglicht es Personen, die ein Fahrzeug sonst selbst nicht bewegen dürfen oder sollten, weil sie bspw. Alkohol zu sich genommen haben, Medikamente eingenommen haben oder einfach nur übermüdet sind, weiterhin mit dem Fahrzeug, ohne selbst die Fahraufgabe zu übernehmen oder auf einen anderen Fahrer angewiesen zu sein, unterwegs sein zu können. Das bietet zudem einen größeren Schutz für sich selbst und weitere Verkehrsteilnehmer.",Z.GP4,2,
7,Z.P4-1,Z,CON,Z.P4,,Selbstbestimmung; eigenverantwortliche Handlungsfreiheit,,die Selbstbestimmung bzw. das eigenverantwortliche Handeln /sollte stets erhalten bleiben.,die Selbstbestimmung bzw. das eigenverantwortliche Handeln sollte stets erhalten bleiben.,"Die Fürsorge kann mit dem Prinzip der Selbstbestimmung im Sinne eigenverantwortlicher Handlungsfreiheit in Konflikt geraten. Es besteht keine ethische Regel, die Sicherheit immer vor Freiheit setzt, sodass Fahrer:innen selbst entscheiden sollten, ob sie bspw. fahrtüchtig sind.",Z.GP4,,
8,Z.P5,Z,PRO,,,Demographischer Wandel; weitere Teilnahme; ältere Menschen,,Durch die KI /werden ältere Menschen weiter am Straßenverkehr teilnehmen können.,Durch die KI werden ältere Menschen weiter am Straßenverkehr teilnehmen können.,"Der demografische Wandel bringt es mit sich, dass zunehmend ältere Menschen in Deutschland leben werden. Um mobil zu bleiben, werden sie weiter am Straßenverkehr teilnehmen müssen. Die autoKI ermöglicht ihnen eine solche weitere sichere Teilnahme.",Z.GP4,3,
9,Z.P5-1,Z,CON,Z.P5,,Kein Verbot für ältere Menschen,,es /gibt kein Verbot für ältere Menschen am Straßenverkehr teilzunehmen.,es gibt kein Verbot für ältere Menschen am Straßenverkehr teilzunehmen.,"Es gibt in Deutschland kein Gesetz, das es Rentner:innen verbietet, mit einem Fahrzeug im öffentlichen Verkehr unterwegs zu sein. Weiterhin existieren keine Vorschriften, die Senioren dazu verpflichten, ihren Führerschein ab einem gewissen Alter abzugeben.",Z.GP4,,
10,Z.P6,Z,PRO,,,Soziale Inklusion; weitere Teilnahme; mobileingeschränkte Personen,,Die KI /stärkt die soziale Inkusion mobilitätseingeschränkter Personen durch die Möglichkeit der Teilhabe am gesellschaftlichen Leben.,Die KI stärkt die soziale Inkusion mobilitätseingeschränkter Personen durch die Möglichkeit der Teilhabe am gesellschaftlichen Leben.,"Die soziale Inklusion kann gestärkt werden, denn der Einsatz fahrerloser Fahrzeuge unterstützt mobilitätseingeschränkte Personen bei der Teilhabe an der Mobilität und damit am gesellschaftlichen Leben insgesamt.",Z.GP4,5,
11,Z.P6-1,Z,CON,Z.P6,,Für eingeschränkte Personen bedarf es mehr als nur einer autKI,,eine KI als Fahrzeugführer /ist womöglich nicht ausreichend.,Für eingeschränkte Personen bedarf es mehr als nur einer autKI,"Es gibt bereits Technologien, die es Menschen bspw. mit körperlichen Einschränkungen ermöglichen, ein Fahrzeug zu führen. Allerdings müssen diese auch derart gestaltet sein, dass die für alle Menschen zugänglich sind. So werden neben der autoKI zusätzliche Hilfsmittel oder Systeme entwickelt werden müssen, damit auch bspw. körperlich eingeschränkte Menschen auf autonom fahrende Fahrzeuge zurückgreifen können, ohne auf die Hilfe einer weiteren Person angewiesen zu sein.",Z.GP4,,
12,Z.P7,Z,PRO,,Z.P15,Reduktion der Verkehrsfläche ,,durch die autoKI /kann Platz für andere Verkehrsmittel oder Infrastruktur geschaffen werden.,durch die autoKI kann Platz für andere Verkehrsmittel oder Infrastruktur geschaffen werden.,"Die autoKI kann die Lenk-, Fahr- und Parkaufgabe präziser ausführen, weshalb Zusatzbreiten bei Fahrstreifen eingespart werden können. Auch beim Parken ergeben sich Vorteile und Stellplätze können schmaler werden, da kein Raum für sich öffnende Türen eingeplant werden muss. Zusatzbreiten bei Fahrstreifen könnten eingespart werden, was wiederum Platz für andere Verkehrsmittel oder Infrastruktur schaffen würde.",Z.GP1,5,
