,label,text
0,Z.P5,MedKI ist kostengünstiger.
1,Z.P5,MedKI ist kostengünstiger als das bisherige System.
2,Z.P5,MedKI ist kostengünstiger als das bisherige Gesundheitssystem.
3,Z.P5,MedKI ist kostengünstiger als das bisherige medizinische System.
4,Z.P5,MedKI ist kostengünstiger als das aktuelle System.
5,Z.P5,MedKI ist kostengünstiger als das aktuelle Gesundheitssystem.
6,Z.P5,MedKI ist kostengünstiger als das aktuelle medizinische System.
7,Z.P5,MedKI ist kostengünstiger als das derzeitige System.
8,Z.P5,MedKI ist kostengünstiger als das derzeitige Gesundheitssystem.
9,Z.P5,MedKI ist kostengünstiger als das derzeitige medizinische System.
10,Z.P5,MedKI ist billiger.
11,Z.P5,MedKI ist billiger als das bisherige System.
12,Z.P5,MedKI ist billiger als das bisherige Gesundheitssystem.
13,Z.P5,MedKI ist billiger als das bisherige medizinische System.
14,Z.P5,MedKI ist billiger als das aktuelle System.
15,Z.P5,MedKI ist billiger als das aktuelle Gesundheitssystem.
16,Z.P5,MedKI ist billiger als das aktuelle medizinische System.
17,Z.P5,MedKI ist billiger als das derzeitige System.
18,Z.P5,MedKI ist billiger als das derzeitige Gesundheitssystem.
19,Z.P5,MedKI ist billiger als das derzeitige medizinische System.
20,Z.P5,MedKI ist preiswerter.
21,Z.P5,MedKI ist preiswerter als das bisherige System.
22,Z.P5,MedKI ist preiswerter als das bisherige Gesundheitssystem.
23,Z.P5,MedKI ist preiswerter als das bisherige medizinische System.
24,Z.P5,MedKI ist preiswerter als das aktuelle System.
25,Z.P5,MedKI ist preiswerter als das aktuelle Gesundheitssystem.
26,Z.P5,MedKI ist preiswerter als das aktuelle medizinische System.
27,Z.P5,MedKI ist preiswerter als das derzeitige System.
28,Z.P5,MedKI ist preiswerter als das derzeitige Gesundheitssystem.
29,Z.P5,MedKI ist preiswerter als das derzeitige medizinische System.
30,Z.P5,MedKI ist günstiger.
31,Z.P5,MedKI ist günstiger als das bisherige System.
32,Z.P5,MedKI ist günstiger als das bisherige Gesundheitssystem.
33,Z.P5,MedKI ist günstiger als das bisherige medizinische System.
34,Z.P5,MedKI ist günstiger als das aktuelle System.
