,label,text
0,FAQ.G1,"Hallo, eine vergleichbare Zulassung wie Ärzte bedeutet dann, dass es Arztpraxen ohne Ärzte gibt?"
1,FAQ.G1,"Hallo, in unserem Szenario gehen wir davon aus, dass KI in sog. Untersuchungszentren Ärzt*innen ersetzt, in dem die KI anstelle von Ärzt*innen Diagnosen stellt und Therapieentscheidungen trifft."
2,Z.K1,"Aber ich kann mir schwer vorstellen eine Diagnose von einem Computer mitgeteilt zu bekommen. Wenn ich ernsthaft krank bin, finde ich, dass es nötig ist, dass mir ein Arzt erklärt, was ich habe und wie ich wieder gesund werden kann."
3,Z.K7-1,Aufgrund von fehlenden Einfühlungsvermögen und Emotion kann KI schlechte Nachrichten im Einzelfall nicht ausreichend empathisch übermitteln.
4,Z.P1,"Eine KI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne KI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich."
5,Z.K3,"Aber wenn diese KI mich falsch behandelt, wer übernimmt dafür die Verantwortung?"
6,Z.K3-2,"Fehlerfreie Entscheidungen sind in der Medizin unmöglich. Es geht immer nur darum, möglichst gut zu sein. Wenn, wie in unserem Szenario, eine KI mindestens die gleiche Leistungsfähigkeit wie Fachärzt*innen aufweist, sollte kein Schadenersatz in den Fällen, wo sie Fehler macht, gezahlt werden, da menschliche Ärzt*innen für Fehldiagnosen auch keinen Schadenersatz zahlen müssen außer bei grober Fahrlässigkeit. Wenn allerdings die Rechtsprechung hohen Schadenersatz bei jedem Fehler der KI verlangen würde, würde die KI nicht einsetzbar sein - zum Schaden der Patienten, denen eine bessere Diagnostik vorenthalten wird."
7,Z.P2,Die Anwendung einer KI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt*innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegesatz zum menschlichen Gehirn nicht.
8,Z.P6,"Im Prinzip irren Ärzte sich ja genauso immer wieder oder man bekommt schlechte Diagnosen, weil die Zeit einfach fehlt. Hier wäre das dann hoffentlich so, dass durch den Einsatz von künstlicher Intelligenz die Behandlung der Patienten verbessert wird und nicht die Kosten einfach eingespart werden und sich gar nichts ändert..."
9,Z.P5,"Der Einsatz von KI ist unter mehreren Gesichtspunkten kostengünstiger. Es können unter anderem Personalkosten eingespart werden, wenn die KI Arbeiten von Ärzt*innen übernehmen kann. Durch die vielseitigen Vorteile des Einsatzes von KI könnte eine qualitätsgesicherte Patientenversorgung bei zugleich hoher Wirtschaftlichkeit erreicht werden."
10,Z.K1,"KI in der Medizin führt dazu, dass Patient*innen alleine bleiben, weil sie keine menschliche Zuwendung bekommen. Persönlicher Kontakt mit Ärzt*innen und aufmunternder Zuspruch kann schon zu einer Verbesserung des Zustands beitragen."
11,Z.K10,"Außerdem wäre es doch auch in der Anfangszeit für alte Menschen problematisch oder? Ich glaube nicht, dass meine Oma sich von einem Computer behandeln lassen wollen würde."
12,Z.K2,Eine KI kann die Lebensumstände der Patient*innen in die Untersuchung nicht mit einbeziehen. Die konkrete Fragestellung und die gesamte Krankheitssituation der Patient*innen sind jedoch für die Diagnostik und die passende Therapieentscheidung enorm wichtig.
13,NZ.K10,"Also für mich hört sich das so an, als gäbe es zu viele Probleme, in dem Fall denke ich, dass dieses System keine Zulassung bekommen sollte. Es könnte ja unterstützend fungieren. Oder hast du noch Argumente, warum das doch so sein sollte?"
14,Z.K10,"Patient*innen haben kein Vertrauen in die KI, da diese unpersönlich ist. Insbesondere ältere Patient*innen neigen zu Skepsis gegenüber technischen Geräten."
15,Z.K10-1,"In unserem Szenario werden die Menschen in Untersuchungszentren durch medizinisches Personal krankheitsbedingt untersucht. Die Ergebnisse werden von der KI ausgewertet und anhand dessen Diagnosen und therapeutische Entscheidungen getroffen. Es ist davon auszugehen, dass das Vertrauen der Patient*innen mit steigender Leistung der KI sichtlich steigen wird, zumal besonders schwierige Fälle an Kompetenzzentren mit den besten Fachärzt*innen überwiesen werden."
16,FAQ.G1,"Wer entscheidet denn dann, was ein schwieriger Fall ist?"
17,FAQ.G1,"Als schwierig würden wohl Fälle eingeteilt werden, die ausnahmsweise nicht nur durch KI entschieden werden können. Für die KI spricht außerdem, dass Patient*innen ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Therapie haben."
18,Z.P3,"Eine KI ist, im Gegensatz zu Ärzt*innen, die sich mühsam weiterbilden müssen, immer auf dem aktuellen Stand der Forschung. Dadurch können neue Behandlungsmethoden schneller eröffnet werden als im konventionelle Medizinbetrieb."
19,Z.K13,"Wenn ich darüber nachdenke, woher solche System kommen sollten, dann fallen mir da eigentlich nur die großen Internetfirmen wie Google oder Apple ein. Und dann wäre das schon sehr problematisch, wenn unsere Gesundheitswesen Schritt für Schritt in die Hände von großen Konzernen wandert. Damit würden ja auch alle Patientenakten bei den entwicklern des Systems landen oder?"
20,Z.K13-1,"Es ist zwar davon auszugehen, dass die Daten anonymisiert gesammelt werden, allerdings verstehe ich deine Bedenken, dass auch diese z.B. weiterverkauft werden könnten. Dies müsste unterbunden werden."
21,NZ.K10,Ärzte haben viel mehr Ahnung und einen fundierteren Hintergrund um Entscheidungen treffen zu können. Eigentlich gibt es die besten Entscheidungen wenn Künstliche Intelligenz die beratende Funktion einnimmt und der Mensch mit diesen helfenden Informationen die Entscheidung trifft
