,label,generative_text
0,Z.P5,[MedKI | KI] ist [kostengünstiger | billiger | preiswerter | günstiger | wirtschaftlicher ] [- | als das [bisherige | aktuelle | derzeitige] [System | Gesundheitssystem | medizinische System]].
1,Z.P5,[MedKI | KI] lastet [Ressourcen | Geräte | Personal] besser aus.
2,Z.P5,[MedKI | KI] nutzt [Ressourcen | Geräte | Personal] besser.
3,Z.P5,[MedKI | KI] [ermöglicht | bedeutet] nur eine [einzige | zentrale | - ] medizinische Anlaufstelle [für Patienten].
4,Z.P5,[MedKI | KI] deckt die [ganze | gesamte] Medizin ab.
5,Z.P5,[MedKI | KI] umfasst die [ganze | gesamte] Medizin.
6,Z.P5,[MedKI | KI] unterstützt eine [ganzheitliche Medizin| ganzheitliche medizinische [Behandlung | Therapie]].
7,Z.P5,[MedKI | KI] [erspart | vermeidet] [den Besuch | die Behandlung | die Therapie | Konsultationen] bei [verschiedenen | anderen | mehreren] [Ärzten | Fachärzten].
8,Z.P5,[MedKI | KI] [erspart | vermeidet] Überweisungen an [verschiedene | andere | mehrere] [Ärzte | Fachärzte].
9,Z.P5,[MedKI | KI] kennt alle Daten eines Patienten.
10,Z.P5,Die Patientendaten sind nicht auf verschiedene Ärzte verteilt.
11,Z.P1,[MedKI | KI] ist [rund um die Uhr | immer | jederzeit | auch nachts | auch am Wochenende] [verfügbar | erreichbar].
12,Z.P4,[MedKI | KI] [vermeidet | verhindert | wirkt entgegen | ist Gegenmaßnahme zu | notwendig wegen] [Ärztemangel | medizinischem Engpass | schlechter medizinischer Versorgung] [- |[- |besonders| insbesondere] in ländlichen Regionen].
13,Z.P4,[MedKI | KI] ist [notwendig wegen | Gegenmaßnahme zu] [dem demographischen Wandel | der Alterung der Gesellschaft | dem Anstieg der Patientenzahlen | der Zunahme der Patienten | der Zunahme von Krankheiten].
14,Z.P4,[MedKI | KI] ist eine Antwort auf [ den demographischen Wandel | die Alterung der Gesellschaft | den Anstieg der Patientenzahlen | die Zunahme der Patienten | die Zunahme von Krankheiten].
15,Z.P2,[MedKI | KI] ist [standardisiert | reproduzierbar | nicht gestresst].
16,Z.P2,[MedKI | KI] ermüdet nicht.
17,Z.P2,[MedKI | KI] [hat | kennt] [keinen Stress | keine Ermüdung].
18,Z.P6,[MedKI | KI] [ist | diagnostiziert | behandelt | therapiert] besser als [durchschnittliche] Ärzte.
19,Z.P6,[MedKI | KI] [liefert | produziert | berichtet] [genauere | präzisere| bessere] [Ergebnisse | Diagnosen | Therapien].
20,Z.P6,[MedKI | KI] ist [überprüfbar | transparent].
21,Z.P6,[MedKI | KI] lernt [ - | schnell] aus [- | ihren] Fehlern.
22,Z.P6,[MedKI | KI] [garantiert | stellt sicher | gewährleistet | ermöglicht ] eine [qualitätsgesicherte | evidenzbasierte] [Patientenversorgung | Patientenbehandlung].
23,Z.P3,[MedKI | KI] wird ständig aktualisiert.
24,Z.P3,[MedKI | KI] ist immer auf dem Stand des aktuellen Wissens.
25,Z.P3,[MedKI | KI] [empfiehlt | übernimmt] [schnell | jederzeit | immer] die [neusten | aktuellsten | aktuellen | besten | bewährtesten] [Behandlungsmöglichkeiten | Therapien | Behandlungen].
26,Z.P3,[MedKI | KI] [garantiert | stellt sicher | gewährleistet | ermöglicht] eine auf dem aktuellen Wissensstand befindliche [Patientenversorgung | Patientenbehandlung].
27,Z.P3,[MedKI | KI] [garantiert | stellt sicher | gewährleistet | ermöglicht] eine [Patientenversorgung | Patientenbehandlung] auf dem aktuellen Wissensstand.
28,Z.K1,[MedKI | KI] [hat kein Einfühlungsvermögen | ist unpersönlich].
29,Z.K1,[Maschinen | Computer] [haben kein Einfühlungsvermögen |sind unpersönlich].
30,Z.K1,[Maschinen | Computer] können [[Kranke| -] Menschen | Patienten] nicht verstehen.
31,Z.K1,[MedKI | KI] kann [[kranke| -] Menschen | Patienten] nicht verstehen.
32,Z.K1,"Patienten fühlen sich [nicht verstanden, unverstanden, nicht geborgen] [durch [MedKI | KI | Computer | Maschinen] | -]."
33,Z.K1,"[[Kranke| -] Menschen | Patienten | Senioren] benötigen [Einfühlungsvermögen |Anteilnahme | Verständnis | Mitgefühl], was [eine [MedKI | KI] | ein Computer | eine Maschine] nicht [vermitteln | erzeugen | bereitstellen | gewährleisten] kann."
