prev_labels,type,label,text
[],user,Z.P11,Es kommt zu weniger Unfällen durch Trunkenheit oder durch menschliche Fehleinschätzungen
['intro_61'],user,Z.P11,"Menschen könnten Alkohol getrunken und trotzdem Auto fahren. Dadurch kommt es zu Unfällen. Wenn Autos autonom fahren, wird verhindert, dass betrunkene Menschen Auto fahren."
"['intro_2', 'z_trans_2', 'Z.P8-1']",user,Z.P8-1-1,"Ja, das kann ich verstehen. Aber auch Menschen sind nicht immer darin erfolgreich, sich auf das Verhalten anderer Verkehrsteilnehmer einzustellen."
['intro_62'],user,Z.P8-1-1,"Auch Menschen können Probleme damit haben, sich auf irrationales Fahrverhalten von Menschen einzustellen."
"['intro_3', 'z_trans_13', 'Z.C5']",user,Z.C5,"Ich stimme zu, dass es schwer sein kann, eine kulturelle Akzeptanz für AutoKI zu erlangen."
[],user,Z.C3,ES GIBT IMMER SZENARIEN AUF DIE DIE KI NICHT EINGESTELLT WURDE
['intro_61'],user,Z.P8-1,Die KI kann reagiert falsch auf unvorhersehbare Szenarien
['intro_62'],user,Z.C3,Ein mögliches versagen der KI kann bei eingeschränkten Personen nicht optimiert werden
"['intro_3', 'z_trans_11', 'Z.P7']",user,Z.C5,"Man weiß aber nie ob sowas von der Gesellschaft akzeptiert wird, wenn die ganzen Straßen umgebaut werden müssen"
['intro_61'],user,Z.C5,Man weiß nicht ob es eine gesellschaftliche Akzeptanz gibt
"['intro_1', 'z_trans_12', 'Z.C2-1']",user,Z.P8-1,"Auf andere Verkehrsteilnehmer kann die KI aber nicht entsprechend reagieren, da sie die Gefühle und folgende Verhaltensweisen der Fahrer nicht vorhersagen kann"
"['intro_1', 'z_trans_13', 'Z.P8']",user,Z.C3,"Ob diese Reaktion aber zu 100% auf die Situation passt, weiß man nicht"
[],user,Z.P11,Wie gesagt kann die ki sicher besser auto fahren als die meisten menschlichen fahrer.
['intro_61'],user,Z.P11,Würden nur noch autonom fahrende autos unterwegs sein wäre es sicherer
"['intro_3', 'z_trans_2', 'Z.P8-1']",user,Z.P8-1-1,Ja das mag sein aber auch wir Menschen tun uns schwer auf dieses irrationale Fahrverhalten von anderen zu reagieren
['intro_62'],user,Z.P8-1-1,Menschen können das nicht besser als die künstliche Intelligenz
"['intro_3', 'z_trans_12', 'Z.C5']",user,Z.C5-1,Das ist der Lauf der zeit und auch kritiker werden das akzeptieren. Am anfang waren viele menschen auch gegen die antibaby pille
['intro_62'],user,Z.C5-3,"Wenn menschen merken, dass etwas funktioniert, werden sie es auch akzeptieren"
"['intro_2', 'z_trans_2', 'Z.C10']",user,Z.C10-1,"Natürlich aber das land hat ja viele juristen. Und wie sagt man so schön:"" viele hände schnelles ende""."
['intro_61'],user,Z.C10,Außerdem kann man ja auch bei den amerikanern spicken
"['intro_1', 'z_trans_2', 'Z.C2']",user,Z.P12,Wenn sich dann auch alle daran halten wird es eventuell sogar schneller weil weniger chaos/stau herrscht
[],user,Z.C4,Gefahr durch Hackerangriffe
"['intro_32', 'Z.C4', 'intro_3', 'Z.C3-1']",user,Z.C4,"Aber eben nur, wenn das Programm eine solche Situation erkennt. Es kommt also auf die Qualität des Angriffes an."
[],user,Z.P12-1-2,Man braucht dann weniger autos und kann besser carsharing betreiben
['intro_61'],user,Z.P12-1-2,"Wenn autos von selber fahren, können sie zu einem kommen und das auch immer wieder für andere machen"
"['intro_2', 'z_trans_11', 'Z.P8-1']",user,Z.P8-1-1,"Aber wir reden ja von einem szenario in der zukunft. Ich gehe davon aus, dass dieses problem gelöst ist, bevor sowas zugelassen wird"
"['intro_3', 'z_trans_2', 'Z.C10']",user,Z.C10-1,"Wenn auto kis zugelassen werden, gibt es ja einen rechtsrahmen"
['intro_61'],user,Z.C10-1,Eine zulassung ist ein rechtsrahmen
"['intro_3', 'z_trans_12', 'Z.C2']",user,Z.C2-1,Geschwindigkeitsbegrenuzungen verlangsamen den verkehr in der regel nicht
"['intro_2', 'z_trans_13', 'Z.C4']",user,Z.C4-1,Das kann man ja aber durch eine gute firewall absichern
['intro_62'],user,Z.C4-1,Das kann man sicher machen
"['intro_3', 'z_trans_2', 'Z.C8']",user,Z.C8-1,Das kann man lösen indem keine daten gespeichert werden
['intro_61'],user,Z.C8-1,Daten nicht speichern
[],user,Z.C2-1,KI könnte das Fahren sicherer machen.
"['intro_28', 'Z.C2-1', 'intro_1', 'Z.C2-1-1']",user,Z.P2,Auto fahren würde weniger anstrengend werden.
['intro_61'],user,Z.P2,Man muss sich beim Fahren nicht konzentrieren.
