prev_labels,type,label,text
"['intro_2', 'z_trans_2', 'Z.P8-1']",user,Z.P8-1-1,"Ja, das kann ich verstehen. Aber auch Menschen sind nicht immer darin erfolgreich, sich auf das Verhalten anderer Verkehrsteilnehmer einzustellen."
['intro_62'],user,Z.P8-1-1,"Auch Menschen können Probleme damit haben, sich auf irrationales Fahrverhalten von Menschen einzustellen."
['intro_61'],user,Z.P8-1,Die KI kann reagiert falsch auf unvorhersehbare Szenarien
"['intro_1', 'z_trans_12', 'Z.C2-1']",user,Z.P8-1,"Auf andere Verkehrsteilnehmer kann die KI aber nicht entsprechend reagieren, da sie die Gefühle und folgende Verhaltensweisen der Fahrer nicht vorhersagen kann"
"['intro_3', 'z_trans_2', 'Z.P8-1']",user,Z.P8-1-1,Ja das mag sein aber auch wir Menschen tun uns schwer auf dieses irrationale Fahrverhalten von anderen zu reagieren
['intro_62'],user,Z.P8-1-1,Menschen können das nicht besser als die künstliche Intelligenz
"['intro_3', 'z_trans_12', 'Z.C5']",user,Z.C5-1,Das ist der Lauf der zeit und auch kritiker werden das akzeptieren. Am anfang waren viele menschen auch gegen die antibaby pille
['intro_62'],user,Z.C5-3,"Wenn menschen merken, dass etwas funktioniert, werden sie es auch akzeptieren"
"['intro_2', 'z_trans_2', 'Z.C10']",user,Z.C10-1,"Natürlich aber das land hat ja viele juristen. Und wie sagt man so schön:"" viele hände schnelles ende""."
[],user,Z.P12-1-2,Man braucht dann weniger autos und kann besser carsharing betreiben
['intro_61'],user,Z.P12-1-2,"Wenn autos von selber fahren, können sie zu einem kommen und das auch immer wieder für andere machen"
"['intro_2', 'z_trans_11', 'Z.P8-1']",user,Z.P8-1-1,"Aber wir reden ja von einem szenario in der zukunft. Ich gehe davon aus, dass dieses problem gelöst ist, bevor sowas zugelassen wird"
"['intro_3', 'z_trans_2', 'Z.C10']",user,Z.C10-1,"Wenn auto kis zugelassen werden, gibt es ja einen rechtsrahmen"
['intro_61'],user,Z.C10-1,Eine zulassung ist ein rechtsrahmen
