prev_labels,type,label,text
[],user,Z.P11,Es kommt zu weniger Unfällen durch Trunkenheit oder durch menschliche Fehleinschätzungen
['intro_61'],user,Z.P11,"Menschen könnten Alkohol getrunken und trotzdem Auto fahren. Dadurch kommt es zu Unfällen. Wenn Autos autonom fahren, wird verhindert, dass betrunkene Menschen Auto fahren."
"['intro_3', 'z_trans_13', 'Z.C5']",user,Z.C5,"Ich stimme zu, dass es schwer sein kann, eine kulturelle Akzeptanz für AutoKI zu erlangen."
[],user,Z.C3,ES GIBT IMMER SZENARIEN AUF DIE DIE KI NICHT EINGESTELLT WURDE
['intro_62'],user,Z.C3,Ein mögliches versagen der KI kann bei eingeschränkten Personen nicht optimiert werden
"['intro_3', 'z_trans_11', 'Z.P7']",user,Z.C5,"Man weiß aber nie ob sowas von der Gesellschaft akzeptiert wird, wenn die ganzen Straßen umgebaut werden müssen"
['intro_61'],user,Z.C5,Man weiß nicht ob es eine gesellschaftliche Akzeptanz gibt
"['intro_1', 'z_trans_13', 'Z.P8']",user,Z.C3,"Ob diese Reaktion aber zu 100% auf die Situation passt, weiß man nicht"
[],user,Z.P11,Wie gesagt kann die ki sicher besser auto fahren als die meisten menschlichen fahrer.
['intro_61'],user,Z.P11,Würden nur noch autonom fahrende autos unterwegs sein wäre es sicherer
['intro_61'],user,Z.C10,Außerdem kann man ja auch bei den amerikanern spicken
"['intro_1', 'z_trans_2', 'Z.C2']",user,Z.P12,Wenn sich dann auch alle daran halten wird es eventuell sogar schneller weil weniger chaos/stau herrscht
[],user,Z.C4,Gefahr durch Hackerangriffe
"['intro_32', 'Z.C4', 'intro_3', 'Z.C3-1']",user,Z.C4,"Aber eben nur, wenn das Programm eine solche Situation erkennt. Es kommt also auf die Qualität des Angriffes an."
"['intro_28', 'Z.C2-1', 'intro_1', 'Z.C2-1-1']",user,Z.P2,Auto fahren würde weniger anstrengend werden.
['intro_61'],user,Z.P2,Man muss sich beim Fahren nicht konzentrieren.
['intro_62'],user,Z.P14,Man muss keine Personen für den ÖPNV einstellen.
"['intro_1', 'z_trans_12', 'Z.C5']",user,Z.P1,Berufsfahrer müssen keine Pausen einlegen.
"['intro_2', 'z_trans_13', 'Z.C10']",user,Z.P11,Verkehrsregeln werden eingehalten.
['intro_61'],user,Z.P12,Der Verkehr läuft flüssiger.
[],user,Z.P11,Ich finde eine KI kann viel genauer im Straßenverkehr agieren als ein Mensch. Menschen sind deutlich Fehleranfälliger!
['intro_61'],user,Z.P11,Eine KI ist nicht so Fehleranfällig wie wie ein Mensch und ist daher deutlich sicherer.
"['intro_3', 'z_trans_11', 'Z.P8-1']",user,Z.GP2,"Ja aber wenn alle Fahrzeuge KI gesteuert wären, wäre das irrelevant."
['intro_62'],user,Z.GP2,"Wenn alle Fahrzeuge KI gesteuert sind, sind andere Menschliche Fahrer nicht mehr im Straßenverkehr und somit muss die KI nicht für menschliche Fehler entwickelt werden."
"['intro_1', 'z_trans_12', 'Z.C5']",user,Z.C5,Ja das kann sein aber das ist bei Veränderungen der Umwelt eines Menschen immer so.
['intro_61'],user,Z.C5,Menschen haben immer Angst vor Veränderungen.
"['intro_2', 'z_trans_11', 'Z.C10']",user,Z.C10,Ja das sehe ich auch so. Die KI müssen ebenfalls einem Recht folgen und dem Menschen untergeordnet sein.
['intro_61'],user,Z.C10,Eine KI muss auch dem Rechtlichen Rahmen folgen wie Menschen.
[],user,Z.P11,Sicherheit
['intro_61'],user,Z.P11,Es wäre sicherer
['intro_61'],user,Z.P1,Es ist für die Menschen entspannter und man kann andere Sachen während der Fahrt machen
['intro_62'],user,Z.P12,Man könnte schneller an sein Ziel kommen
"['intro_3', 'z_trans_13', 'Z.C2']",user,Z.P12,Es wäre Kraftstoff sparend
['intro_62'],user,Z.P12,Bei autonomen Fahren würde man Kraftstoff sparen
"['intro_1', 'z_trans_13', 'Z.C4']",user,Z.P11,Bei normalen Autos passieren mehr Unfälle und Anschläge
['intro_61'],user,Z.P11,In autonomen Autos kann man nicht in Menschenmengen fahren
"['intro_2', 'z_trans_2', 'Z.C8']",user,Z.C3,Bei schlechtem Wetter könnten die Systeme nicht mehr funktionieren
['intro_62'],user,Z.C3,Bei schlechtem Wetter funktionieren die Systeme des Autonomen Fahrens nicht mehr so gut
"['intro_1', 'z_trans_12', 'Z.P2-1']",user,Z.C8,Bei den rege Datenaustausch könnte es zu Datenschutz Verletzungen kommen
['intro_61'],user,Z.C8,Bei Autonomen fahren gibt es viel Datenaustausch. den das könnte zu Datenschutz Verletzungen kommen
