prev_labels,type,label,text
['intro_61'],user,CONSENT,Ich kann das Argument verstehen.
"['intro_2', 'z_trans_11', 'Z.P6']",user,NZ.G3,"Ja das stimmt, hierbei sollte aber kein vollständiges Vertrauen auf die KI gesetzt werden"
['intro_62'],user,NZ.G2,Eine ki soll menschliches fahrberhalten einschätzen können bevor sie zugelassen wird
"['intro_27', 'Z.C2-1', 'intro_3', 'Z.C2-1-1']",user,NZ.G3,Das ist ja aber nicht das problem der ki
['intro_62'],user,NZ.G3,"Wenn andere menschen riskant fahren, ist das deren schuld und nicht der ki"
"['intro_1', 'z_trans_2', 'Z.P2-1']",user,INSULT,Mimimi
"['intro_3', 'z_trans_11', 'Z.P8-1']",user,Z.GP2,"Ja aber wenn alle Fahrzeuge KI gesteuert wären, wäre das irrelevant."
['intro_62'],user,Z.GP2,"Wenn alle Fahrzeuge KI gesteuert sind, sind andere Menschliche Fahrer nicht mehr im Straßenverkehr und somit muss die KI nicht für menschliche Fehler entwickelt werden."
"['intro_1', 'z_trans_2', 'Z.C6']",user,CONSENT,Das stimmt
"['intro_3', 'z_trans_11', 'Z.P8-1']",user,NZ.G1,wenn kein mensch mehr fährt kommt es nicht dazu
['intro_62'],user,CONSENT,okay
"['intro_2', 'z_trans_2', 'Z.C5']",user,CONSENT,ich akzeptiere
"['intro_3', 'z_trans_11', 'Z.C10']",user,DISSENT,sollte kein problem sein
['intro_61'],user,CONSENT,okay
"['intro_1', 'z_trans_12', 'Z.C2']",user,DISSENT,stimme ich nicht zu
['intro_61'],user,DISSENT,nein
['intro_62'],user,DISSENT,nein
"['intro_3', 'z_trans_13', 'Z.P2-1']",user,DISSENT,find ich unlogisch
['intro_62'],user,DISSENT,stimme ich nicht zu
"['intro_1', 'z_trans_11', 'Z.P8-1']",user,Z.GP2,"Wenn alles Autos durch KI gefahren werden würde, gäbe es dieses Problem nicht"
['intro_62'],user,Z.GP2,"Wenn nur noch autoKIs an Straßenverkehr teilnehmen würde, müssten sich die KI auch nicht auf irrationales Fahrverhalten einstellen"
"['intro_3', 'z_trans_2', 'Z.C5']",user,CONSENT,Ja stimmt.
"['intro_3', 'z_trans_2', 'Z.P7']",user,CONSENT,Ja das ist richtig
['intro_62'],user,CONSENT,"Das stimmt, du hast recht"
"['intro_2', 'z_trans_11', 'Z.P8-1']",user,Z.GP2,Alle Autos mit ki
['intro_62'],user,Z.GP2,Wenn alle Autos mit ki fahreny dann gibt es kein irraionales Fahrverhalten
['intro_62'],user,Z.GP2,Auf den Straßen sollten deshalb nur Autos fahren dürfen
"['intro_3', 'z_trans_13', 'Z.C2']",user,NZ.G2,Die Autos müssten deshalb untereinander vernetzt sein
['intro_61'],user,NZ.G2,Autos aller Hersteller müssten dann untereinander kommunizieren können
['intro_61'],user,CONSENT,Das stimmt. Aber dafür gibt es auch heute keine Norm
"['intro_2', 'z_trans_13', 'Z.C5']",user,NZ.G3,"so lange, bis alle Autos autonom fahren"
['intro_61'],user,NZ.G1,Fahren durch die KI ist gefährlicher als normales Autofahren.
"['intro_3', 'z_trans_13', 'Z.P8-1']",user,NZ.G3,Das funktioniert nur wenn alle im Straßenverkehr autonom fahren.
['intro_62'],user,NZ.G3,"Nur wenn der gesamte Straßenverkehr durch KI gesteuert ist, kann diese Idee funktionieren"
"['intro_3', 'z_trans_12', 'Z.C5']",user,NZ.G3,"Kurzfristig wird das schwer umzusetzen , aber langfristig ist das möglich"
['intro_61'],user,DISSENT,Du hast unrecht mit deiner These
['intro_62'],user,DISSENT,Nein
"['intro_2', 'z_trans_12', 'Z.P8-1']",user,NZ.G1,"Um sich nicht auf irrationales Verhalten von anderen Verkehrsteilnehmern einstellen zu müssen, sollte jedes Fahrzeug die autoKI verwenden."
"['intro_3', 'z_trans_2', 'Z.C10']",user,CONSENT,Der Punkt ist tatsächlich ein kompliziertes Hindernis
[],user,NZ.G1,Unfallgefahr
['intro_61'],user,NZ.G1,Die Unfallgefahr bei autonomen Autos ist höher
"['intro_3', 'z_trans_12', 'Z.P6']",user,NZ.G3,"Das stimmt! Gibt es bisher Autos ohne KI, mit denen mobilitätseingeschränkte Personen fahren können? Die wären sicherer"
['intro_62'],user,NZ.G3,Gibt es Autos ohne KI für mobilitätseingeschränkte Menschen?
['intro_61'],user,Z.GP1,Im bereich der IT werden neue Arbeitsplätze geschaffen
"['intro_2', 'z_trans_12', 'Z.P8-1']",user,Z.GP2,Aber wenn sich diese Technologie durchsetzt und fast jeder damit fährt ist das kein Problem mehr
['intro_62'],user,Z.GP2,Aber wenn sich diese Technologie durchsetzt und quasi keine leute mehr fahren sondern nur Kis ist das kein Problem mehr
"['intro_3', 'z_trans_11', 'Z.C5']",user,INSULT,Das Argument ist schlecht
"['intro_2', 'z_trans_12', 'Z.C10']",user,INSULT,"Ich bin mir nicht sicher, was du meinst. Kannst du das anders formulieren?"
