numeration,label,text
,Z.C6-3-1,"Wenn die autoKI darauf programmiert werden soll, dass die Opferzahl in sog. Dilemmasituationen minimiert werden soll, könnten unter Umständen die Programmierer als verantwortlich gemacht werden."
,Z.C2,"Die Umsetzung von Vernetztem Fahren durch die Verwendung von AutoKI, wird die Anforderungen an die Geschwindigkeitsbegrenzungen erhöhen, um eine effektive Kommunikation zwischen den Systemen zu gewährleisten. Dies kann zu verlängerten Fahrzeiten und einer geringeren Effizienz im Verkehr führen."
,Z.C2-1-1,"Wenn autonom fahrende Autos eine langsamere und vorsichtigere Fahrweise an den Tag legen, kann dies bei anderen Verkehrsteilnehmern für Unzufriedenheit sorgen. Dies kann dazu führen, dass diese Verkehrsteilnehmer unbedachte Aktionen einleiten, die wiederum neue Risiken im Verkehr verursachen können."
,Z.P10-1,"Der Einsatz von autoKI in der Güterbeförderung kann dazu führen, dass viele Arbeitsplätze in diesem Bereich obsolet werden."
,Z.C6-3,"Eine Programmierung von selbstfahrenden Fahrzeugen mit dem Ziel, die Anzahl der Unfallopfer zu minimieren, kann als gerechtfertigt betrachtet werden, falls sie das Risiko für jeden einzelnen Verkehrsteilnehmer gleichermaßen senkt, ohne gegen das Grundgesetz zu verstoßen."
,Z.C6-1,"Die autoKI hat in kniffligen Konfliktsituationen die Fähigkeit, verglichen mit Menschen, wahrscheinlich bessere Entscheidungen zu treffen, welche weniger Schaden verursachen, da Menschen in solchen Situationen oft überfordert sind und nicht in der Lage sind die bestmögliche Wahl zu treffen."
,Z.C9-1,"Ein missverstandener Datenschutz kann verhindern, dass relevante Daten ausgetauscht werden, was zu ineffektiven Ergebnissen führen kann, wie es bei der deutschen Corona-Warn-App der Fall war. Es ist von großer Bedeutung, ein Gleichgewicht zwischen Selbstbestimmungsrecht und dem Schutz vor Schaden sowie dem Prinzip der Fürsorge herzustellen."
,Z.C5-1-1-1,"Die Präferenz, die Kontrolle über das Fahrzeug selbst zu behalten, sollte nicht dazu führen, das autonome Fahren ganz zu verhindern. Personen die es vorziehen, die Fahrzeugsteuerung selbst zu übernehmen, sollten weiterhin die Möglichkeit dazu haben."
,Z.C7,"Da die Kosten von KI-Systemen aktuell sehr hoch sind, können sich nicht alle diese Technologie leisten. Dies verschärft eine bereits bestehende Ungerechtigkeit in Bezug auf den Zugang zu Fahrzeugen, da einige Menschen ohnehin nicht in der Lage sind, sich ein eigenes Fahrzeug zu finanzieren."
,Z.C6-2,"Die autoKI könnte eine Entscheidungsfindung in Dilemma-Situationen auf Zufallsgeneratoren stützen, somit eine Option darstellen, bei der das Fahrzeug unabhängig von der Situation entscheidet und dabei keine festgelegten Werte oder Algorithmen verwendet."
,Z.C6,"Die autoKI stellt sich bei der Abwägung von Entscheidungen in kritischen Situationen, wie Dilemma-Situationen, in denen es um das Abwägen von Menschenleben geht, vor Herausforderungen. Da solche Entscheidungen weder durch klare Normen bestimmt noch ethisch eindeutig programmiert werden können."
,Z.C5-2,"Um der Skepsis der Gesellschaft bzgl. neuer Technologien zu entgegnen, sollte der Dialog gesucht werden."
,Z.P8-1,"Die autoKI wird, was das irrationale menschliche Verhalten angeht, an ihre Grenzen stoßen."
,Z.C10,"Um den Einsatz der autoKI im Straßenverkehr zu etablieren, bedarf es vorerst eines Rechtsrahmens, der das autonome Fahren reguliert."
,Z.P11,"Autonome Fahrzeuge führen zwangsläufig zu einer Reduktion von Verkehr und Parkkosten in der Innenstadt."
,Z.P10-2-1,"Es ist zu erwarten, dass sich die Anschaffungskosten der autoKI und die der technischen Ausrüstung im Vergleich zu den Lohnkosten, schnell amortisieren werden."
,Z.P4,"Die autoKI schafft mehr Zugang zu Mobilität indem sie das Feld derjenigen Personen, die ein Auto führen dürfen, erweitert. Behinderte und ältere Menschen sowie möglicherweise auch Kinder genießen dann die Freiheit am motorisierten Individualverkehr teilnehmen zu können. "
,Z.P14,"Ein breiter Einsatz der autoKI steigert die Verlässlichkeit und Sicherheit des ÖPNV. Dies trägt wesentlich zu einem angenehmeren Reisekomfort bei."
,Z.P8-1-1,"Sowohl die autoKI als auch Menschen können menschliches Fehlverhalten nur schwer vorausahnen. Entscheidend schneller und sicherer kann jedoch die autoKI reagieren. Dies ist besonders wichtig, da 90% aller Unfälle aus menschlichem Fehlverhalten heraus geschehen."
,Z.C1-1-1,"Das erklärte Ziel des Einsatzes der autoKI besteht nicht darin den Menschen zu verdrängen. Vielmehr soll eine Reduzierung von Unfällen und höhere Effizienz im Straßenverkehr erreicht werden. Es ist weiterhin möglich das Steuer selbst zu bedienen."
,Z.C8-1,"Datenschutzrechtlichen Fragen wird mit Anonymisierung der Nutzerdaten sowie Cyber-Protektion und stark begrenzter Datenaufbewahrungszeit begegnet. Rechtliche Rahmenbedingungen müssen eingehalten werden und zur Übermittlung der Daten werden nur datenschutztechnisch unbedenkliche und zertifizierte Protokolle verwendet."
,Z.C9,"Das generierte Wissen über Nutzer und Fahrverhalten übersetzt sich in die Macht derjenigen, welche über das Wissen verfügen können. Trotz Anonymisierung und Datenschutz besteht großes Potenzial für Überwachung und Missbrauch."
,Z.C6-3-1,"Bei einer solchen Programmierung muss stets eine Entscheidung getroffen werden bzw. eine bestimmte Art von Person oder Personengruppe diskriminiert werden. Für diese Programmierentscheidung können die Programmierer haftbar gemacht werden."
,Z.C4-1-1,"Es wird immer Angriffe geben, die gängige Sicherheitsstandards umgehen können. Beeinflussung der aufgenommenen Daten des fahrenden Autos oder direkte Manipulation von Datenübertragungen bergen tödliche Risiken."
,Z.P12,"Eine flächendeckend eingesetzte autoKI wird Staus vermeiden und Verkehrsabläufe wirksam optimieren. Beispielsweise das Reißverschlussverfahren würde mit autoKI reibungslos funktionieren. Zudem führen optimierte Verkehrswege zu einer geringeren Umweltbelastung."
,Z.C10-1,"In Deutschland existieren bereits seit 2017 Gesetzte zu Fahrassistenzsystemen. Ein Gesetz zum vollautomatisierten Fahren wurde 2021 aufgenommen und seitdem stetig verbessert mit Hinblick auf die fortschreitenden technischen Entwicklungen. Ausserdem wird der Rechtsrahmen auch auf UN-Ebene weiterentwickelt mit besonderer Initiative Deutschlands."
,Z.C5-1-1-1,"Vollautomatisierte Fahrsysteme werden keine Pflicht sein. Viele Menschen möchten lieber die Steuerungskontrolle über ihr Auto weiterhin behalten und dürfen das auch."
,Z.C7-1,"Es sollte nicht der Fall sein, dass neue Formen des Fahrens unzugänglich bleiben, nur weil nicht alle die Mittel dafür haben. Es ist wichtig, dass neue Herausforderungen in Bezug auf die Gerechtigkeit angesprochen werden, besonders wenn es um die Kosten geht. Es ist jedoch wichtig zu beachten, dass die Kosten im Laufe der Zeit sinken werden und damit ein größerer Zugang ermöglicht werden kann."
,Z.C7,"Da die Kosten von KI-Systemen eine Hürde darstellen können, kann es sein, dass nicht alle Personen in naher Zukunft in der Lage sein werden, diese Technologie zu nutzen. Das kann zu einer Verschärfung der bestehenden Herausforderungen in Bezug auf Gerechtigkeit führen, insbesondere für jene, die sich bereits jetzt kein eigenes Fahrzeug leisten können."
