numeration,label,text
,Z.GK1,"Menschliche Richter:innen neigen dazu sich beinflussen zu lassen in ihrer Entscheidungsfindung. Ihre Abwägungskompetenz wird verzerrt durch Sterotype, die Höhepunkt-Ende-Regel,die Verfügbarkeitsheuristik und viele andere Heuristiken."
,Z.P4,"Die fortgeschrittene Verarbeitungsgeschwindigkeit und Funtionsweise von KI ermöglicht in riesigen Datenmassen trotz hoher Komplexität zahlreiche Korrelationen zu finden, die menschliche Richter:innen nicht vollständig überblicken können."
,Z.K9,"Ein Mensch möchte als Mensch behandelt werden. Die Verwertung durch eine Maschine wie die jurKI wird auf wenig Akzeptanz stoßen - Besonders bei derart wichtigen Entscheidungen wie Gerichtsurteilen."
,FAQ.3,"Fraglich ist, worum es sich bei den Instanzen handelt."
,FAQ.2,"Fraglich erscheint, wieso es in dieser Diskussion nicht um eine die Richter:innen unterstützende KI geht."
,FAQ.3,"Stimmt es, dass eine Instanz lediglich die zuständige Behörde im Rechtszug ist?"
,Z.K2,"Einer KI fehlt es an Lebenserfahrung und insbesondere an Einfühlvermögen, um über die Bürger zu urteilen."
,FAQ.5,"Probleme könnten sich dabei ergeben, dass eine KI das Gesetz aufgrund seiner Komplexität nie vollständig verstehen können wird."
,Z.GK1,"Die jurKI basiert auf Wahrscheinlichkeitsangaben und Parametern, sodass das Abwägen von Entscheidungsalternativen präzise ist. Sie lässt sich nicht wie Menschen von Gefühlen und dem gegebenen Umfeld beeinflussen."
,Z.K4,"Wenig flexibel als der Rechtsspruch von Richter:innen sind die Entscheidungen der jurKI wodurch Rechtssicherheit gewährleistet wird."
,Z.P2,"Die Überlastung der Justiz lässt sich mit dem Einsatz von einer jurKi verbessern, denn diese arbeitet ununterbrochen und kann den Richter:innen viele leichte Fälle abnehmen. Dadurch profitieren alle Beteiligten."
,Z.GK1,"Die Entwicklung und Arbeitsweise der jurKI ist gebunden an Wahrscheinlichkeitsangaben und Parameter. Anders als viele menschliche Richter:innen kann die jurKI also präzise Entscheidungen treffen."
,Z.P2,"Gerade bei der zunehmenden Anzahl von Massenverfahren könnte eine jurKI das überlasteten Justiz-System durch ihr Arbeiten rund um die Uhr bei der Bearbeitung von leichten Fällen besonders entlasten."
,Z.K4,"Die jurKI ist in ihren Ergebnissen wenig anpassungsfähig. Dieselbe Ausgangslage wird stets gleich bewertet und führt zum selben Ergebnis, ohne Raum für individuelle Lösungen."
,FAQ.2,"Wieso ist die in diesem Szenario betrachtete KI nicht unterstützend tätig sondern trifft selbstständig Entscheidungen?"
,Z.K6,"Einer künstlichen Intelligenz liegen keine Werte zugrunde, an denen sich die Entscheidungsfindung orientieren kann. Dies könnte unmenschliche Urteile zur Folge haben."
,Z.K12,"Die KI bricht mit geltenden Grundsätzen wie dem Artikel 22 der DSGVO: Danach hat die betroffene Person grundsätzlich das Recht, nicht einer ausschließlich auf einer automatisierten Verarbeitung (einschließlich Profiling) beruhenden Entscheidung unterworfen zu werden, die ihr gegenüber rechtliche Wirkung entfaltet oder sie in ähnlicher Weise erheblich beeinträchtigt."
