type,label,text
user,Z.K1,"KI in der Medizin führt dazu, dass Patienten alleine bleiben, während Ärztinnen sich nur noch mit Daten befassen"
user,Z.K1,Was ist mir der persönlichen Beziehung?
user,Z.K1,Keine Sozialkompetenz von Ärzten
user,Z.K1,"Der Persönliche Kontakt zwischen dem Artzt und dem Patienten ist sehr wichtig, sowohl für Artzt als auch Patient. Der Patient kommt sich nicht so vor wie in einem Fastfood Resturant in dem er nur abgefertigt wird sondern mit einem richtigen Menschen als gegen über fühlt er sich Wertgeschätzt und versorgt, was auch positiv zur Heiling beitragen kann"
user,Z.K1,Patient*innen fühlen sich eventuell nicht gut betreut
user,Z.K1,"Ein Arzt kann mit eher einfühlsamen Worten sowie geschulte Zuwendung eine beruhigende Wirkung auf den Patienten haben, wohingegen KIs nur die medizinischen fakten aufzählen würden"
user,Z.K1,Dass KI im Vergleich zu Ärzten über keine sozialen Kompetenzen haben
user,Z.K1,Bei einer Ärztlichen Untersuchung durch eine KI würde der menschliche Kontakt fehlen
user,Z.K1,"Meiner Meinung nach ist es wichtig, dass Ärtze eine Einschätzung der gesundheitlichen Lage in Person und vor Ort durchführen müssen, was durch eine KI nicht möglich ist."
user,Z.K1,"Was ist mit der Menschlichkeit, die durch einen Ersatz durch KI verloren geht?"
user,Z.K1,Patienten die nichts schlimmes haben würden im Gesundheits System nicht berücksichtigt
user,Z.K1,"Das ist ja noch schlechter, man würde Patienten mit kleineren Problemen diskriminieren und ihnen das Gegühl geben dass sie weniger Berücksichtigt werden als Patienten mit schlimmeren Problemen"
user,Z.K1,Das stimmt aber was ist mit der Menschlichkeit?
user,Z.K1,Echte Ärzte können empathisch auf Patientinnen eingehen
user,Z.K1,Zur diagnose mag eine KI gut sein aber um sich um Patientinnen zu kümmern braucht es einen Menschen
user,Z.K1,"Eine KI kann aber niemals einen Menschen ersetzten egal wie gut programmiert sie ist, sie wird nie die Menschliche Fürsorge ersetzten können"
user,Z.K1,Zwischenmenschlichkeit fehlend
user,Z.K1,Fehlender sozialer Kontakt
user,Z.K1,"Ja, da braucht es einen Menschen"
user,Z.K1,Ärzt*innen als reale Personen sind nicht eins zu eins durch KI zu ersetzen
user,Z.K1,Im Gegensatz zu Maschinen haben Menschen Empathiefähigkeit die eine wichtige Rolle spielt.
user,Z.K1,Einfühlsamkeit
user,Z.K1,KI sehen nur die krankheit nicht menschen
user,Z.K1,Ärzte sollten nicht ersetzt werden wegen Kommunikation zu den Patienten und deren Angehörigen
user,Z.K1,"Ich glaube aber, dass eine emphatische Fähigkeit bei Ärzten notwendig ist"
user,Z.K1,persönlicher Ansprechpartner; Mehr Vertrauen
user,Z.K1,Ein bot kannzwischenmännschliche Interaktion nicht ersetzen
user,Z.K1,Außerdem ist die emotionale Verbindung zwischen medizinischem personal und Patient für eine gute behandlung essentiell
user,Z.K1,"Allein die Gesprächsführung ist sehr entscheidend, genauso wie Mitgefühl."
user,Z.K1,Die Vermittlung der Diagnose sollte durch einen Menschen stattfinden.
user,Z.K1,"Trotzdem möchte ich einen Arzt haben, mit dem ich persönlich über Themen reden kann und der sich mir annimmt"
user,Z.K1,"Die Emphatie die ein Mensch empfinden kann, kann nicht von einem Roboter ersetzt werden"
user,Z.K1,"Man will aber lieber mit einer Person sprechen, die eventuell schon ähnliche Erfahurngen im menschlichen Leben gemacht hat"
user,Z.K1,Menschlich sein kann vielleicht von einem Roboter versucht werden aber nicht komplett perfektioniert werden
user,Z.K1,Kommunikation mit realen Menschen ist angenehmer
user,Z.K1,Konversation mit realen Menschen kann beruhigender wirken
