prev_labels,type,label,text
"['intro_1', 'z_trans_11', 'Z.K18']",user,CONSENT,"Das stimmt, Menschen machen auch fehler"
"['intro_2', 'z_trans_13', 'Z.P1']",user,CONSENT,Das ist natürlich richtig
"['intro_28', 'Z.P5', 'intro_51', 'Z.P5-1']",user,CONSENT,Ja das stimmt
"['intro_1', 'z_trans_13', 'Z.K7']",user,CONSENT,Ja das stimmt aber
"['intro_2', 'z_trans_13', 'Z.K5']",user,CONSENT,Ja
"['intro_27', 'Z.K1', 'intro_55', 'Z.K1-1']",user,CONSENT,Das finde ich ist eine gute Lösung
['intro_62'],user,CONSENT,Ja
"['intro_2', 'z_trans_11', 'Z.P5']",user,CONSENT,Ich stimme zu
"['intro_3', 'z_trans_2', 'Z.K2']",user,CONSENT,Ja hab ich
"['intro_1', 'z_trans_13', 'Z.K1']",user,CONSENT,Das ist korrekt
"['intro_3', 'z_trans_13', 'Z.P1']",user,CONSENT,Ja das ist ein gutes Argument für KI
['intro_62'],user,CONSENT,"Ich gebe dir recht, dass es die Erreichbarkeit besser wäre mit KI"
"['intro_1', 'z_trans_13', 'Z.K7']",user,CONSENT,Das stimmt
['intro_61'],user,CONSENT,ja
['intro_62'],user,CONSENT,Das stimmt
"['intro_24', 'Z.K6', 'intro_55', 'Z.K6-1']",user,CONSENT,Stimmt
"['intro_2', 'z_trans_12', 'Z.K5']",user,CONSENT,Das stimmt
"['intro_27', 'Z.K1', 'intro_55', 'Z.K1-1']",user,CONSENT,Ja
['intro_61'],user,CONSENT,Mir ist bewusst das ein MedKi nicht alle Lebensumstände der Patient*innen in die Untersuchung mit einbeziehen
"['intro_1', 'z_trans_2', 'Z.K2']",user,CONSENT,Das ist mir bewusst
"['intro_3', 'z_trans_12', 'Z.K7']",user,CONSENT,Der Meinung bin ich auch.
"['intro_1', 'z_trans_13', 'Z.P1-1']",user,CONSENT,Einverstanden
"['intro_2', 'z_trans_2', 'Z.K18']",user,CONSENT,Das stimmt
"['intro_27', 'Z.K15', 'intro_49', 'Z.K15-1']",user,CONSENT,okay du hast recht
"['intro_25', 'Z.K7', 'intro_56', 'Z.K7-1']",user,CONSENT,okay
"['intro_23', 'Z.K4', 'intro_58', 'Z.K4-1']",user,CONSENT,"Ok, da gibt es kein Gegeenarguwmbt"
"['intro_32', 'Z.K7', 'intro_56', 'Z.K7-1']",user,CONSENT,richitg
"['intro_3', 'z_trans_2', 'Z.P1-1']",user,CONSENT,Das verstehe ich
"['intro_1', 'z_trans_2', 'Z.P1']",user,CONSENT,Da stimme ich dir zu
"['intro_1', 'z_trans_13', 'Z.K7']",user,CONSENT,Da hast du Recht. Das ist ein Argument gegen die ki
"['intro_23', 'Z.K3', 'intro_51', 'Z.K3-1']",user,CONSENT,Das finde ich auch wichtig.
['intro_61'],user,CONSENT,Ich stimme dir zu
"['intro_37', 'FAQ.3', 'FAQ.3-1', 'faq_trans_2', 'Z.K5']",user,CONSENT,Ah ok das verstehe ich
['intro_62'],user,CONSENT,Dein Argument empfinde ich als sinnvoll
"['intro_28', 'Z.P5-1', 'intro_6', 'z_trans_11', 'Z.P6']",user,CONSENT,Stimmt daran habe ich noch gar nicht gedachr
"['intro_1', 'z_trans_13', 'Z.K2']",user,DISSENT,"Das ist eine Annahme, irgendwann könnte auch das möglich sein."
['intro_62'],user,DISSENT,Nein
"['intro_3', 'z_trans_2', 'Z.K18']",user,DISSENT,Das war nicht wirklich meine Frage...
"['intro_1', 'z_trans_13', 'Z.P1-1']",user,DISSENT,Ich meinte etwas anderss
['intro_61'],user,DISSENT,In Zukunft wird das möglich sein.
"['intro_25', 'Z.K4', 'intro_59', 'Z.K4-1']",user,DISSENT,"Ne, das war nicht das Argument."
"['intro_2', 'z_trans_2', 'Z.P3']",user,DISSENT,das finde ich kann nicht die Lösung für das Problem sein
"['intro_2', 'z_trans_13', 'Z.K1']",user,DISSENT,nein
['intro_62'],user,FAQ.2,Kann man sich auf die Entscheidungen der medKI verlassen?
['intro_61'],user,FAQ.2,Ist KI in der Lage einwandfrei Diagnosen zu stellen?
