prev_labels,type,label,text
"['intro_28', 'Z.K9', 'intro_51', 'Z.K9-1']",user,Z.GP2,Teure Wartung
['intro_61'],user,Z.GP4,"Deswegen sollte man daran arbeiten, Stress zu entlasten, indem man mehr Studienplätze schafft und folglich mehr Menschen in diesem Beruf arbeiten können. Eine Ersetzung der KI empfinde ich als nicht sinnvoll."
['intro_61'],user,Z.GP4,"man sollte mehr Medizinplätze schaffen aufgrund des Ärztemangeld, nicht aber probieren die Ärzte zu ersetzen durch KI"
"['intro_1', 'z_trans_2', 'Z.P4']",user,Z.GP4,"Ja, man sollte mehr Medizinplätze schaffen, nicht aber Ärzte durch KI ersetzen wollen."
['intro_61'],user,Z.K1,Dass KI im Vergleich zu Ärzten über keine sozialen Kompetenzen haben
[],user,Z.K1,Bei einer Ärztlichen Untersuchung durch eine KI würde der menschliche Kontakt fehlen
"['intro_2', 'z_trans_11', 'Z.P3']",user,Z.K1,Was ist mir der persönlichen Beziehung?
"['intro_24', 'Z.K7', 'intro_55', 'Z.K7-1']",user,Z.K1,"Ich glaube aber, dass eine emphatische Fähigkeit bei Ärzten notwendig ist"
[],user,Z.K1,"Meiner Meinung nach ist es wichtig, dass Ärtze eine Einschätzung der gesundheitlichen Lage in Person und vor Ort durchführen müssen, was durch eine KI nicht möglich ist."
[],user,Z.K1,Zwischenmenschlichkeit fehlend
['intro_61'],user,Z.K1,Im Gegensatz zu Maschinen haben Menschen Empathiefähigkeit die eine wichtige Rolle spielt.
['intro_61'],user,Z.K1,"Allein die Gesprächsführung ist sehr entscheidend, genauso wie Mitgefühl."
[],user,Z.K1,Das Gespräch mit einem Arzt/Ärztin trägt wesentlich zum Behandlungserfolg bei. Das kann eine KI nicht ersetzen.
"['intro_1', 'z_trans_13', 'Z.P3']",user,Z.K1,"KI in der Medizin führt dazu, dass Patienten alleine bleiben, während Ärztinnen sich nur noch mit Daten befassen"
[],user,Z.K1,"Was ist mit der Menschlichkeit, die durch einen Ersatz durch KI verloren geht?"
['intro_61'],user,Z.K1,Die Vermittlung der Diagnose sollte durch einen Menschen stattfinden.
"['intro_3', 'z_trans_11', 'Z.P4']",user,Z.K1,Zur diagnose mag eine KI gut sein aber um sich um Patientinnen zu kümmern braucht es einen Menschen
['intro_61'],user,Z.K1,"Ein Arzt kann mit eher einfühlsamen Worten sowie geschulte Zuwendung eine beruhigende Wirkung auf den Patienten haben, wohingegen KIs nur die medizinischen fakten aufzählen würden"
"['intro_2', 'z_trans_2', 'Z.P3']",user,Z.K1,"Das stimmt, allerdings würde der Arztbesuch deutlich unangenehmer werden"
['intro_61'],user,Z.K1,Kommunikation mit realen Menschen ist angenehmer
['intro_62'],user,Z.K1,Echte Ärzte können empathisch auf Patientinnen eingehen
"['intro_2', 'z_trans_13', 'Z.P2']",user,Z.K1,Konversation mit realen Menschen kann beruhigender wirken
"['intro_1', 'z_trans_13', 'Z.P1']",user,Z.K1,Patient*innen fühlen sich eventuell nicht gut betreut
"['intro_23', 'NZ.K10', 'intro_11', 'NZ.K10-1', 'z_trans_1', 'Z.P1']",user,Z.K1,"Ärzte haben aber die Fähigkeit, direkter auf den Patienten einzugehen, selbst wenn die KI durch einen Menschen in der Kommunikation unterstützt wird, fällt eine wichtiger Teil der Behandlung, der meiner Meinung nach oft vernachlässigt wird, weg. Eine KI muss rational auf eine Situation eingehen, Effekte wie der Placebo wirken jetzt nicht mehr, auch kann die diagnose beeinträchtigt werden wenn ein Patient nicht ehrlich ist oder seine historie falsch ist. Ein Arzt kann die Fähigkeit besitzen Behandlungsrelevante Information unteranderem durch Kommunikation herauszufinden. Eine Kommunikations Assistenz fehlt die fachliche Expertise dafür."
[],user,Z.K1,"Der Persönliche Kontakt zwischen dem Artzt und dem Patienten ist sehr wichtig, sowohl für Artzt als auch Patient. Der Patient kommt sich nicht so vor wie in einem Fastfood Resturant in dem er nur abgefertigt wird sondern mit einem richtigen Menschen als gegen über fühlt er sich Wertgeschätzt und versorgt, was auch positiv zur Heiling beitragen kann"
"['intro_27', 'Z.K1', 'intro_56', 'Z.K1-1']",user,Z.K1,"Eine KI kann aber niemals einen Menschen ersetzten egal wie gut programmiert sie ist, sie wird nie die Menschliche Fürsorge ersetzten können"
