['intro_62'],user,Z.K11,"Bei einer medKI können technische Probleme auftreten, bei Menschen nicht"
"['intro_1', 'z_trans_11', 'Z.K18']",user,Z.K18,Das gilt genauso für Fehleinschätzungen von Menschen
['intro_62'],user,Z.K2,"Eine KI handelt immer nach der theoretisch besten Lösung, allerdings ist diese nicht immer moralisch Vertretbar"
"['intro_26', 'Z.K3', 'intro_46', 'Z.K3-2']",user,Z.K3,Es geht bei Verantwortung nicht nur um Schadensersatz sondern auch im moralische Verantwortung
"['intro_1', 'z_trans_13', 'Z.P3']",user,Z.K6,Es hat bisher geklappt. Also warum sollte man alles auf KIs umrüsten?
"['intro_2', 'z_trans_12', 'Z.P6']",user,Z.K6,Missverständnisse
['intro_62'],user,Z.P1,"Ärzte sind doch auch Rund um die Uhr erreichbar?! Dafür werden Sie auch dementsprechend bezahlt. Auf dem Land natürlich nicht, aber eine KI könnte auch nicht ohne Beaufsichtigung das Krankenhaus leiten"
['intro_62'],user,Z.P1,Wofür muss ein Arzt durchgehend erreichbar sein? Viele Operationen können auch am nächsten Tag durchgeführt werden.
['intro_62'],user,Z.P1,Ohne KI ist ja auch eine 24h Betreuung garantiert
"['intro_1', 'z_trans_12', 'Z.P1']",user,Z.P1,"das sehe ich auch so, als Alternative für Ärzte um einfach routine arbeit durchzuführen wären sie sinnvoll"
['intro_62'],user,Z.P1,"Es gibt tatsächlich viele positive Argumente und ich stimme zu, dass ein Teil der Arbeit übernommen werden könnte, aber halt nicht alles"
"['intro_2', 'z_trans_13', 'Z.P1']",user,Z.P1,"Ja das mag sein, aber Ferndiagnosen zu stellen, ist keine adäquate Lösung."
"['intro_32', 'Z.P5', 'intro_53', 'z_trans_13', 'Z.P1-1']",user,Z.P5,Dafür kann der First Level Support von Ärzten abgewendet werden und durch KIs übernommen werden
"['intro_28', 'Z.K7', 'intro_56', 'Z.K7-1']",user,Z.P6,"Das ist gut. Der Vorteil wäre, dass Ärzt*innen mehr Zeit für Patienten hätten - Dinge, die so zu kurz kommen. Ich habe mich vor allem am Begriff „ersetzen“ gestört. Die KI kann vielleicht auch in manchen Dingen besser sein, z.B. seltenere Fälle oder Studien zu Minderheiten einbeziehen."
['intro_61'],user,Z.P7,Anstelle der KI kann man auch das Medizin Studium zugänglicher machen
"['intro_1', 'z_trans_12', 'Z.P4']",user,Z.P7,Man könnte auch das Medizin Studium zugänglicher machen
"['intro_23', 'Z.P4', 'intro_50', 'Z.P4-1']",user,Z.P7,"Aber ist es realistisch, dass das Gesundheitssystem besser finanziert wird bevor eine medKI in der Lage ist fundierte Entscheidungen zu treffen?"
