type,label,text
user,NZ.K10,"Technik und Menschlichkeit sollten kombiniert werden, nicht gegeneinander ausgetauscht."
user,Z.K7,hat eine KI psychologische Fähigkeiten beim umgang mit Patienten?
user,Z.K7,Emotionale bindung und einfühlvermögen
user,Z.K10,"Ich glaube nicht, dass sie sich Schritt für Schritt daran gewöhnen werden. Es wird eher auf Ablehung stoßen."
user,Z.K7,das stimmt zwar jedoch sind Ärzte durch jahrelange erfahrung besser trainiert während KI erstmal test durchführen muss um bestimmte Krankheiten auszuschließen. Menschen können auch schon anhand der Emotionen und psychischen Beschaffenheit feststellen was das problem sein könnte
user,Z.K16,"Dann würden wir uns aber eventuell abhängig machen von diesen einzelnen Experten, in deren Hand die KI liegt. Das Argument war ja, dass Ärzte nicht die Zeit hätten, sich ausreichend fortzubilden."
user,NZ.K10,Ich bin dafür dass KI im Gesundheitssystem genutzt wird. Jedoch nur als beratende Funktion und darf für Ideen Tipps und Informationen genutzt werden. Die wirklichen Entscheidungen in Diagnostik und Therapie soll ein Mensch treffen
user,NZ.K10,"Neue Technologie abzulehnen und nicht umzusetzen nur weil sie nicht vertraut ist, ist kein gutes Argument. So könnte man nie neue Dinge umsetzen. Diese Angst vor Neuem lässt sich jedoch auch durch einen nur unterstützenden Einsatz der KI beheben, da so ebenfalls ein Arzt zur Stelle ist, der die Entscheidungen der KI nochmal überdenken kann und so dem Patienten ein Gefühl der Sicherheit gibt."
user,NZ.K10,Da hast du Recht. Vielleicht könnte man eine Mischung aus medki und ärzten durchsetzen
user,Z.K1,persönlicher Ansprechpartner; Mehr Vertrauen
user,Z.K7,Sie kann zwar lernen weiß aber nicht das fehl Entscheidungen auch eine emotionale Erfahrung mit sich bringen welche wichtig sind für die Ethik eines Mediziners und Grundlegend zur Entwichlung eines guten Artztes
user,Z.K16,"Ich sehe allerdings auf längere Sicht die Gefahr, dass wir Menschen uns zu sehr in die Hände der KI begeben, uns von ihr abhängig machen, irgendwann ihre Entscheidungen nicht mehr nachvollziehen oder erklären können"
user,Z.K7,"Wir haben hier eine Maschine, die ohne Moralvorstellung und Gewissen an diverse Entscheidungen herangehen wird. Es wäre leicht diese auf eine wirtschaftlich sinnvolle, kostengünstige Therapie hin zu programmieren. Ein Arzt würde zum Beispiel bei einem Familienvater alles tun, um ihn aus der Misere zu holen, da hier eine ganze Familie darunter leiden wird. Hier ist umso mehr eine teure und aufwendige Therapie angebracht."
