prev_label,type,label,text
Z.U,exp,Z.P1,"Eine KI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne KI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich."
Z.P1,user,Z.K10,"Eine KI wäre zwar rund um die Uhr erreichbar, kann aber - im Gegensatz zu menschl. Ärzten - keine physische Hilfeleistung leisten. Beratend wäre sie, im akuten Notfall aber nicht nützlicher als ein Arzt, den man telefonisch erreichen könnte."
Z.K10,exp,Z.K10-1,"In unserem Szenario werden die Menschen in Untersuchungszentren durch medizinisches Personal krankheitsbedingt untersucht. Die Ergebnisse werden von der KI ausgewertet und anhand dessen Diagnosen und therapeutische Entscheidungen getroffen. Es ist davon auszugehen, dass das Vertrauen der Patient*innen mit steigender Leistung der KI sichtlich steigen wird, zumal besonders schwierige Fälle an Kompetenzzentren mit den besten Fachärzt*innen überwiesen werden."
Z.K10,exp,Z.P2,Die Anwendung einer KI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt*innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegesatz zum menschlichen Gehirn nicht.
Z.K10-1,user,Z.K11,"Sollte die KI eine Fehlentscheidung treffen, wer haftet dann? Der Hersteller der KI, der Betreiber der Praxis, der Staat, ...?"
Z.K11,exp,Z.K11-1,"Bei Ärzt*innen besteht das gleiche Problem, dass Fehler nicht durch finanziellen Schadensersatz ausgeglichen werden können."
Z.K11,exp,Z.K3-1,"Schadensersatzforderungen sollten kein Grund sein eine fortschrittliche Technologie zu verhindern. Denoch könnte man den hohen Schadensersatzforderungen mittels sog. Haftungsfonds bzw. durch eine allgemeine Versicherungspflicht für die KI entgegenwirken, die von den Versicherern und Hersteller*innen gemeinsam zu finanzieren sind."
,user,Z.P1,"Ja, wenn die KI genügend ausgereift ist. Es gibt zu wenig gute Ärzte. Die Wartezeiten für freie Termine sind sehr lange."
Z.P1,exp,Z.K1,"KI in der Medizin führt dazu, dass Patient*innen alleine bleiben, weil sie keine menschliche Zuwendung bekommen. Persönlicher Kontakt mit Ärzt*innen und aufmunternder Zuspruch kann schon zu einer Verbesserung des Zustands beitragen."
Z.K1,user,Z.K2-4,"Das ist bei einigen Krankheiten sicher richtig und menschliche Zusprache ist sehr wichtig. Es gibt aber auch Fälle die anders gelagert sind. Zum Beispiel bei Rückenschmerzen, die Ursache finden."
Z.K2-4,exp,Z.K2,Eine KI kann die Lebensumstände der Patient*innen in die Untersuchung nicht mit einbeziehen. Die konkrete Fragestellung und die gesamte Krankheitssituation der Patient*innen sind jedoch für die Diagnostik und die passende Therapieentscheidung enorm wichtig.
Z.K2,user,FAQ.3,Warum kann die KI das nicht? Kann man Ihr das nicht antrainieren?
FAQ.3,exp,Z.K3,Bei Fehlentscheidungen der KI werden sehr hohe Schadensersatzforderungen entstehen und die Hersteller*innen könnten für diese Fehlentscheidungen der KI verantwortlich gemacht werden. Die Anreize für die Hersteller*innen eine KI zu entwickeln würden wegfallen.
Z.K3,user,Z.K3-1,"Man kann das Thema Haftung ja vielleicht so lösen, dass man es nur Menschen anbietet die das auf eigene Gefahr auch wollen. Man kann sich die Diagnose der KI ja geben lassen und dann selbst entscheiden, ob man das Ganze so macht, wie der Vorschlag war oder nicht."
Z.K3,user,FAQ.1,Könnte die KI auch Untersuchungen durchführen? z.B. Ultraschall oder Röntgenaufnahmen machen?
Z.K3-1,exp,Z.K5,"Bei der Diagnostik und Therapieentscheidung sind die Erklärungen der Ergebnisse wichtig, da letztlich die Patient*innen ihrer Therapie zustimmen müssen. Eine KI tut sich schwer eine auf das intellektuelle Niveau der Patient*innen angepasste Erklärung zu liefern."
NZ.U,exp,Z.K5,"Eine KI wird zwar ein Ergebnis am Ende geben. Dieses wird wahrscheinlich aber nicht so verständlich dargelegt, wie es ein echter Arzt könnte. Für Nachfragen ist sie voraussichtlich ebenso nicht gewappnet."
Z.U,exp,Z.K9,Durch die große Menge gesammelter Daten werden Kliniken interessanter für Cyberangriffe.
intro_4,user,Z.P5,"Vielleicht hat eine KI ja mehr Zeit für den Patienten als ein Arzt, was ein sehr großer Vorteil wäre, oder?"
,user,FAQ.G1,"Hallo, eine vergleichbare Zulassung wie Ärzte bedeutet dann, dass es Arztpraxen ohne Ärzte gibt?"
FAQ.G1,exp,FAQ.G1,"Hallo, in unserem Szenario gehen wir davon aus, dass KI in sog. Untersuchungszentren Ärzt*innen ersetzt, in dem die KI anstelle von Ärzt*innen Diagnosen stellt und Therapieentscheidungen trifft."
FAQ.G1,user,Z.K10,"Aber ich kann mir schwer vorstellen eine Diagnose von einem Computer mitgeteilt zu bekommen. Wenn ich ernsthaft krank bin, finde ich, dass es nötig ist, dass mir ein Arzt erklärt, was ich habe und wie ich wieder gesund werden kann."
Z.K10,exp,Z.P1,"Eine KI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne KI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich."
Z.P1,user,Z.K3,"Aber wenn diese KI mich falsch behandelt, wer übernimmt dafür die Verantwortung?"
Z.K3,exp,Z.K3-2,"Fehlerfreie Entscheidungen sind in der Medizin unmöglich. Es geht immer nur darum, möglichst gut zu sein. Wenn, wie in unserem Szenario, eine KI mindestens die gleiche Leistungsfähigkeit wie Fachärzt*innen aufweist, sollte kein Schadenersatz in den Fällen, wo sie Fehler macht, gezahlt werden, da menschliche Ärzt*innen für Fehldiagnosen auch keinen Schadenersatz zahlen müssen außer bei grober Fahrlässigkeit. Wenn allerdings die Rechtsprechung hohen Schadenersatz bei jedem Fehler der KI verlangen würde, würde die KI nicht einsetzbar sein - zum Schaden der Patienten, denen eine bessere Diagnostik vorenthalten wird."
