prev_labels,type,label,text
"['intro_1', 'z_trans_7', 'Z.P1']",user,Z.P1,"Eine KI wäre zwar rund um die Uhr erreichbar,"
"['intro_1', 'z_trans_7', 'Z.P1']",user,NZ.K10,"kann aber - im Gegensatz zu menschl. Ärzten - keine physische Hilfeleistung leisten. Beratend wäre sie, im akuten Notfall aber nicht nützlicher als ein Arzt, den man telefonisch erreichen könnte"
"['intro_3', 'Z.K10-1', 'z_trans_1', 'Z.P2']",user,Z.K3,"Sollte die KI eine Fehlentscheidung treffen, wer haftet dann? Der Hersteller der KI, der Betreiber der Praxis, der Staat, ...?"
[],user,NZ.K10,"Ich denke, dass eine KI eher unterstützend wirken sollte."
[],user,Z.K7,"Der menschliche Kontakt zwischen Arzt und Patienten, welcher ebenfalls viel zu Heilungsprozessen beitragen kann, kann von einer Maschine nicht genauso nachempfunden werden, wie es bei Menschen der Fall ist."
"['intro_1', 'Z.K10-1', 'z_trans_10', 'Z.P1']",user,Z.P1,"Das bedeutet, für den menschlichen Kontakt steht Personal zur Verfügung, aber die relevanten Entscheidungen werden vorrangig von KI getroffen, richtig?"
"['intro_1', 'Z.K10-1', 'z_trans_10', 'Z.P1']",user,Z.K3,"Hier stellt sich die Frage, wer haftet, wenn die Entschidungen der KI die gesundheitliche Problematik des Patienten weiter verstärken. Die Informatiker?"
"['intro_1', 'Z.K10-1', 'z_trans_10', 'Z.P1']",user,Z.P1,Das mit der Erreichbarkeit rund um die Uhr ist natürlich ein gutes Argument. Eine KI würde tatsächlich sehr viel Entlastung in den Schichtbetrieb bringen.
"['intro_4', 'Z.K3', 'z_trans_10', 'Z.K3']",user,NZ.K10,"Das Problem würde auch umgangen werden, wenn die Eintscheidungen, die die KI fällt, in jedem Fall von einem Arzt abgesegnet werden muss. Dann haftet der Arzt. Die KI wirkt mehr als Entscheidungshilfe statt die Entscheidungen zu fällen."
"['intro_4', 'Z.K3', 'z_trans_10', 'Z.K3']",user,Z.K15,"KI trifft Entscheidungen ja aus einer Datenlage heraus. Angenommen, ein Patient hat Symptome, die sehr häufig bei einer bestimmten Krankheit auftreten, aber er hat diese Krankheit nicht, dann wird die KI mit hoher Wahrscheinlichkeit diese Krankheit behandeln anstatt weiter nach Ursachen für die Symptomatik zu suchen, oder nicht? Kann es sein, dass dann einige Patienten zu schnell eingeordnet werden und so Krankheiten nicht richtig erkannt werden?"
"['intro_2', 'Z.K3-2', 'nz_trans_1']",user,Z.K3-1-1-1,"Dass sich eine KI nicht lohnt, wenn das Risiko besteht, viele Strafzahlungen leisten zu müssen, ist klar. Wenn die Leistung der KI, wie in diesem Szenario, i.A. tatsächlich genauso gut ist, wie die eines Arztes, sollten auch die gleichen Maßstäbe angelegt werden. Aber ich halte dennoch es für schwierig, der KI die gleichen Kompetenzen zu ermöglichen."
"['OTHER', 'Z.K10']",user,Z.K10-2,"Kommt wahrscheinlich auch auf die KI an. Das Vertrauensproblem kann ich gut nachvollziehen. Allerdings wird sicherlich immer mehr Vertrauen bei Menschen entstehen, wenn KI eine Weile im Einsatz ist und auffällt, dass die Entscheidungen/Vorschläge der KI hilfreich waren."
"['OTHER', 'Z.K10']",user,NZ.K10,"Neue Technologie abzulehnen und nicht umzusetzen nur weil sie nicht vertraut ist, ist kein gutes Argument. So könnte man nie neue Dinge umsetzen. Diese Angst vor Neuem lässt sich jedoch auch durch einen nur unterstützenden Einsatz der KI beheben, da so ebenfalls ein Arzt zur Stelle ist, der die Entscheidungen der KI nochmal überdenken kann und so dem Patienten ein Gefühl der Sicherheit gibt."
"['intro_1', 'Z.K10-1', 'z_trans_11', 'Z.P6']",user,Z.K10,"ich befürchte jedoch, dass je mehr roboterhafte Kommunikation von der KI ausgeht, desto weniger Vertrauen bei manchen Patienten entsteht."
[],user,FAQ.G1,"Hallo, eine vergleichbare Zulassung wie Ärzte bedeutet dann, dass es Arztpraxen ohne Ärzte gibt?"
['FAQ.G1'],user,Z.K1,"Aber ich kann mir schwer vorstellen eine Diagnose von einem Computer mitgeteilt zu bekommen. Wenn ich ernsthaft krank bin, finde ich, dass es nötig ist, dass mir ein Arzt erklärt, was ich habe und wie ich wieder gesund werden kann."
"['intro_1', 'Z.K7-1', 'z_trans_12', 'TRANS', 'Z.P1']",user,Z.K3,"Aber wenn diese KI mich falsch behandelt, wer übernimmt dafür die Verantwortung?"
"['Z.K3-2', 'z_trans_4', 'Z.P2']",user,Z.P6,"Im Prinzip irren Ärzte sich ja genauso immer wieder oder man bekommt schlechte Diagnosen, weil die Zeit einfach fehlt. Hier wäre das dann hoffentlich so, dass durch den Einsatz von künstlicher Intelligenz die Behandlung der Patienten verbessert wird und nicht die Kosten einfach eingespart werden und sich gar nichts ändert..."
"['intro_16', 'Z.P5', 'TRANS', 'Z.K1']",user,Z.K7,"Die emotionale Komponente bei einem Arzt ist nicht zu vernachlässigen. Von einem auftreten hängt stark ab, ob ich vertraue und dadurch auch zutraue mir zu helfen. Vor allem Krankheiten, die auf Stress beruhen können allein durch ""gut zureden"" besser werden. Das kann ich mir nicht vorstellen, dass eine KI das kann."
"['intro_16', 'Z.P5', 'TRANS', 'Z.K1']",user,Z.K10,"Außerdem wäre es doch auch in der Anfangszeit für alte Menschen problematisch oder? Ich glaube nicht, dass meine Oma sich von einem Computer behandeln lassen wollen würde."
"['intro_2', 'z_trans_10', 'Z.K2']",user,NZ.K10,"Also für mich hört sich das so an, als gäbe es zu viele Probleme, in dem Fall denke ich, dass dieses System keine Zulassung bekommen sollte. Es könnte ja unterstützend fungieren. Oder hast du noch Argumente, warum das doch so sein sollte?"
"['intro_12', 'Z.K10', 'z_trans_10', 'Z.K10-1']",user,FAQ.G1,"Wer entscheidet denn dann, was ein schwieriger Fall ist?"
"['FAQ.G1', 'Z.P3']",user,Z.K13,"Wenn ich darüber nachdenke, woher solche System kommen sollten, dann fallen mir da eigentlich nur die großen Internetfirmen wie Google oder Apple ein. Und dann wäre das schon sehr problematisch, wenn unsere Gesundheitswesen Schritt für Schritt in die Hände von großen Konzernen wandert. Damit würden ja auch alle Patientenakten bei den entwicklern des Systems landen oder?"
[],user,NZ.K10,Ärzte haben viel mehr Ahnung und einen fundierteren Hintergrund um Entscheidungen treffen zu können. Eigentlich gibt es die besten Entscheidungen wenn Künstliche Intelligenz die beratende Funktion einnimmt und der Mensch mit diesen helfenden Informationen die Entscheidung trifft
"['intro_1', 'nz_trans_1', 'Z.P2']",user,FAQ.2,"Okay, also bin ich der Meinung dass eine KI niemals so gute Ergebnisse liefern kann wie ein Mensch. Aber in unserem Szenario gehen wir jetzt davon aus dass es möglich wäre?"
[],user,Z.P2,"Ich glaube eine KI ist über den Tag hin leistungsfähiger und macht weniger Fehler aufgrund von Überlastung oder Erschöpfung. Für diagnostische Zwecke halte ich es für sinnvoll und würde den Ärzten viel Zeit sparen, die sie für die Behandlung der Patienten nutzen können"
"['intro_1', 'Z.K18', 'z_trans_13', 'Z.K2']",user,Z.K2,"Könnte man der KI die Lebensumstände nicht beibringen? Sie könnte auf bestimmte Merkmale reagieren, z.B. Hygiene"
"['intro_2', 'z_trans_2', 'Z.K10']",user,Z.K10-2,"Allerdings steigt auch die Skepsis gegenüber Ärzten und Krankenhäuser, da vermehrt gespart wird, Ärzte zunehmend überlastet sind und aus dem Ausland kommen, was bei älteren Leuten auch zu Skepsis führt. Vielleicht sehen ältere Leute es dann auch positiv, dass sich was verändert."
"['intro_15', 'TRANS', 'Z.K3']",user,Z.K3,"Wie ist es denn aktuell bei Fehlentscheidungen von Ärzten geregelt? Unterschreibt man davor nicht, dass man keine Schadensersatzforderungen stellen kann bei einer falschen Diagnose/ falscher Behandlung?"
"['INTRO', 'TRANS', 'Z.K5']",user,NZ.G3,"Man könnte der KI ja auch eine einfache, verständliche Sprache beibringen"
