prev_labels,type,label,text
[],user,FAQ.G1,"Hallo, eine vergleichbare Zulassung wie Ärzte bedeutet dann, dass es Arztpraxen ohne Ärzte gibt?"
['FAQ.G1'],exp/bot,FAQ.G1,"Hallo, in unserem Szenario gehen wir davon aus, dass KI in sog. Untersuchungszentren Ärzt*innen ersetzt, in dem die KI anstelle von Ärzt*innen Diagnosen stellt und Therapieentscheidungen trifft."
['FAQ.G1'],user,Z.K1,"Aber ich kann mir schwer vorstellen eine Diagnose von einem Computer mitgeteilt zu bekommen. Wenn ich ernsthaft krank bin, finde ich, dass es nötig ist, dass mir ein Arzt erklärt, was ich habe und wie ich wieder gesund werden kann."
"['INTRO', 'Z.K1']",exp/bot,Z.K7-1,Aufgrund von fehlenden Einfühlungsvermögen und Emotion kann KI schlechte Nachrichten im Einzelfall nicht ausreichend empathisch übermitteln.
"['INTRO', 'Z.K1']",exp/bot,Z.P1,"Eine KI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne KI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich."
"['intro_1', 'Z.K7-1', 'z_trans_12', 'TRANS', 'Z.P1']",user,Z.K3,"Aber wenn diese KI mich falsch behandelt, wer übernimmt dafür die Verantwortung?"
"['INTRO', 'Z.K3']",exp/bot,Z.K3-2,"Fehlerfreie Entscheidungen sind in der Medizin unmöglich. Es geht immer nur darum, möglichst gut zu sein. Wenn, wie in unserem Szenario, eine KI mindestens die gleiche Leistungsfähigkeit wie Fachärzt*innen aufweist, sollte kein Schadenersatz in den Fällen, wo sie Fehler macht, gezahlt werden, da menschliche Ärzt*innen für Fehldiagnosen auch keinen Schadenersatz zahlen müssen außer bei grober Fahrlässigkeit. Wenn allerdings die Rechtsprechung hohen Schadenersatz bei jedem Fehler der KI verlangen würde, würde die KI nicht einsetzbar sein - zum Schaden der Patienten, denen eine bessere Diagnostik vorenthalten wird."
"['INTRO', 'Z.K3']",exp/bot,Z.P2,Die Anwendung einer KI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt*innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegesatz zum menschlichen Gehirn nicht.
"['Z.K3-2', 'z_trans_4', 'Z.P2']",user,Z.P6,"Im Prinzip irren Ärzte sich ja genauso immer wieder oder man bekommt schlechte Diagnosen, weil die Zeit einfach fehlt. Hier wäre das dann hoffentlich so, dass durch den Einsatz von künstlicher Intelligenz die Behandlung der Patienten verbessert wird und nicht die Kosten einfach eingespart werden und sich gar nichts ändert..."
"['INTRO', 'Z.P6']",exp/bot,Z.P5,"Der Einsatz von KI ist unter mehreren Gesichtspunkten kostengünstiger. Es können unter anderem Personalkosten eingespart werden, wenn die KI Arbeiten von Ärzt*innen übernehmen kann. Durch die vielseitigen Vorteile des Einsatzes von KI könnte eine qualitätsgesicherte Patientenversorgung bei zugleich hoher Wirtschaftlichkeit erreicht werden."
"['INTRO', 'Z.P6']",exp/bot,Z.K1,"KI in der Medizin führt dazu, dass Patient*innen alleine bleiben, weil sie keine menschliche Zuwendung bekommen. Persönlicher Kontakt mit Ärzt*innen und aufmunternder Zuspruch kann schon zu einer Verbesserung des Zustands beitragen."
"['intro_16', 'Z.P5', 'TRANS', 'Z.K1']",user,Z.K10,"Außerdem wäre es doch auch in der Anfangszeit für alte Menschen problematisch oder? Ich glaube nicht, dass meine Oma sich von einem Computer behandeln lassen wollen würde."
"['INTRO', 'Z.K7', 'Z.K10']",exp/bot,Z.K2,Eine KI kann die Lebensumstände der Patient*innen in die Untersuchung nicht mit einbeziehen. Die konkrete Fragestellung und die gesamte Krankheitssituation der Patient*innen sind jedoch für die Diagnostik und die passende Therapieentscheidung enorm wichtig.
"['intro_2', 'z_trans_10', 'Z.K2']",user,NZ.K10,"Also für mich hört sich das so an, als gäbe es zu viele Probleme, in dem Fall denke ich, dass dieses System keine Zulassung bekommen sollte. Es könnte ja unterstützend fungieren. Oder hast du noch Argumente, warum das doch so sein sollte?"
['NZ.K10'],exp/bot,Z.K10,"Patient*innen haben kein Vertrauen in die KI, da diese unpersönlich ist. Insbesondere ältere Patient*innen neigen zu Skepsis gegenüber technischen Geräten."
