,total_queries,queries_with_retained_gold,avg_retained_passages,avg_retained_gold_passages,avg_reduction_percentage,precision_improvement,recall,successful_examples,failure_examples
no_filter,1887.0,1887.0,9138.0,57.072072072072075,0.0,0.0,1.0,0,0
scenario_filter,1887.0,1887.0,2597.774774774775,57.072072072072075,71.5717358855893,0.015673403983400412,1.0,1887,0
stance_filter,1887.0,1615.0,4887.337572866984,49.24324324324324,46.51633209819467,0.003815505850842152,0.8558558558558559,1608,279
history_filter,1887.0,1307.0,8664.951775304717,37.57869634340223,5.176715087494895,-0.0019566962869473213,0.6926338102808691,127,601
group_filter,1887.0,1193.0,3866.8897721250664,35.966613672496024,57.68341243023498,0.016137620070202672,0.6322204557498675,508,713
counter_argument_filter,1887.0,1410.0,2710.830418653948,41.83571807101219,70.33453251637098,0.009343232843849131,0.7472178060413355,1389,498
combined_scenario_stance,1887.0,1615.0,1455.7519872813991,49.24324324324324,84.0692494278685,0.0269434355016594,0.8558558558558559,1608,279
combined_scenario_stance_history,1887.0,1146.0,1310.2246952835187,32.888712241653415,85.6618002267073,0.017781495544096526,0.6073131955484896,1126,761
combined_scenario_counter,1887.0,1410.0,1308.7101218865926,41.83571807101219,85.67837467841262,0.026258572915092683,0.7472178060413355,1389,498
combined_scenario_group,1887.0,1193.0,1247.6544780074191,35.966613672496024,86.34652573859302,0.03690131111287826,0.6322204557498675,1174,713
combined_all,1887.0,587.0,327.7615262321145,17.48065712771595,96.4132028208349,0.06081230571863629,0.31107578166401695,572,1315
