,label,num queries
1,Z.P1-1,40
7,Z.P1,28
15,Z.P2,21
4,Z.P4-1,21
0,Z.K2,19
20,Z.P8,16
19,Z.K14,16
21,NZ.K10,15
2,Z.K4,13
18,Z.K6,13
3,Z.K6-1-1,12
17,Z.P1-2,11
11,Z.P3,11
8,Z.P4,8
9,Z.P3-1-1,6
34,Z.K9,6
22,Z.K6-1-1-1,6
27,Z.P1-1-1,5
26,Z.K6-2,5
36,Z.K10,5
33,Z.P8-2,5
6,Z.P3-1,5
12,Z.K3-2,5
25,Z.K3,4
13,Z.K10-1,4
10,Z.K6-1,4
5,Z.K5,4
37,Z.P2-1,3
32,Z.K9-1,3
42,Z.K16,3
24,Z.K11,3
16,Z.K4-1,3
40,Z.K12,2
29,FAQ.1,2
28,Z.P2-2,2
47,Z.K15,2
46,Z.K2-1,2
41,Z.K7,2
14,Z.K2-1-2-1,1
45,Z.K3-1,1
44,Z.P5,1
43,FAQ.4,1
31,NZ.K2,1
30,Z.K11-1,1
39,FAQ.5,1
38,Z.P5-1,1
23,FAQ.6,1
35,Z.P3-1-2,1
48,Z.K7-2,1
