,label,num queries
3,Z.P2,16
5,Z.K5,13
9,Z.K9,6
8,Z.K3,5
18,Z.P5,5
14,Z.P1,5
6,Z.K1,5
0,Z.P6,4
11,Z.K8,4
12,Z.K4,3
4,Z.K1-1,3
2,Z.P3,3
1,Z.P1-3-1,2
10,Z.P3-3-1,2
16,Z.K6,2
17,Z.K2,2
19,Z.P3-3,2
20,FAQ.2,2
27,Z.P9,2
26,Z.P4,2
25,Z.P3-1,1
29,Z.P11,1
28,Z.K7,1
24,Z.K1-1-1-1,1
22,Z.P9-1,1
21,Z.P8,1
15,Z.K5-1,1
13,Z.P2-2,1
7,NZ.K10,1
23,Z.K8-1,1
48,Z.K2-1,0
57,Z.K3-1,0
50,Z.P5-2,0
51,Z.K7-1-1,0
52,Z.P3-2,0
53,Z.P5-1-1,0
54,FAQ.6,0
55,Z.K8-2,0
56,Z.K8-1-1,0
60,FAQ.1,0
58,Z.P6-1-1,0
59,Z.K1-1-1,0
61,FAQ.4,0
62,Z.K7-1,0
63,Z.K9-2,0
64,Z.K3-2,0
65,Z.P-4-1-1,0
49,FAQ.3,0
33,Z.P3-2-1,0
47,Z.P7,0
46,Z.K4-1,0
30,FAQ.7,0
31,Z.P5-1,0
32,Z.P9-2,0
34,Z.P6-1,0
35,Z.P10,0
36,Z.P1-2,0
37,FAQ.5,0
38,Z.P4-1,0
39,Z.P11-1,0
40,Z.P1-3,0
41,Z.P8-1,0
42,Z.K9-1,0
43,FAQ.8,0
44,Z.K6-1,0
45,Z.P7-1,0
66,Z.K9-1-1,0
